occupation	latitude	longitude	zipcode
Rijo_Realty_Group	C	42.728616	-73.743156
Center_of_Excellence_For_Hair_Restoration	A	42.753304	-73.777339
Van_Geest_Nursery	D	42.707008	-73.807556
Comdoc	C	42.761036	-73.821502
Lane_Bryant	C	42.711077	-73.816115
Congregation_Beth_Israel	A	42.800477	-73.897087
Jules_House	B	42.700004	-73.808905
Capitaland_Taxi	C	42.777111	-73.900763
Sake_Japanese_Steakhouse	B	42.754567	-73.771034
Southwest_Airlines	E	42.745771	-73.810099
Bryans_&_Gramuglia	A	42.709549	-73.864287
Marino's_Flying_Pizza_&_Restaurant	B	42.79754	-73.922843
Marble_and_Granite	C	42.733143	-73.85749
Amber	B	42.743789	-73.760005
Ferrara's_Automotive	C	42.73327	-73.711013
Evo_Salon_&_Spa	B	42.732273	-73.761729
KeyBank	C	42.782165	-73.89047
Illusions_Hair_Salon	B	42.696419	-73.768928
LCC_Solution	C	42.791176	-73.914053
Armory_Chrysler_Dodge_Jeep_Ram_FIAT_of_Albany_Opens_in_New_Window	C	42.681537	-73.793439
Wendy's	B	42.769312	-73.820068
Chang's_Garden	B	42.662046	-73.776754
Repsher_&_Associates_Physical_Therapy	A	42.693894	-73.771915
BCBGeneration	C	42.711322	-73.814389
Rainbow_Express_Inc	A	42.782235	-73.950268
Blockhouse_Park	B	42.937299	-73.656249
Auntie_Anne's	B	42.689354	-73.850557
United_Buffet	B	42.783899	-73.916962
Clean2o_Touchfree_Car_Wash	D	42.677274	-73.824552
Mosall's_Grove	B	42.666156	-73.848196
Cody's_Cozy_Pals	C	42.737523	-73.797885
Glennpeter_jewelers	C	42.714419	-73.829858
A_True_North_Massage	B	42.685187	-73.868458
Sunoco	C	42.727449	-73.795532
Tom_Morrissey_OD	A	42.784794	-73.944699
Massage_by_Tera	B	42.686774	-73.856074
Tsl_Daycare_Services_Inc	A	42.673551	-73.849488
Batteries_Plus_Bulbs	C	42.753393	-73.760039
Evolve_Psychiatry	A	42.693042	-73.873354
Peter_Harris_Clothes	C	42.762102	-73.796829
Metro_Mattress	C	42.712662	-73.815294
Spotted_Zebra_Learning_Center	A	42.714475	-73.803302
Upper_Fifteen_Flying_Club	A	42.744272	-73.810985
Above_Grade_Level	A	42.746172	-73.869251
Lipstik_Beauty_Lounge	B	42.702092	-73.817889
Apropos_Prom_&_Bridal	C	42.690734	-73.866573
Enterprise_Rent-A-Car	C	42.792357	-73.916933
ACME_Auto_Radiator_Service	D	42.731104	-73.70424
Kimberley's_A_Day_Spa	B	42.770361	-73.754541
Happy_Pets_Pet_Sitting_Services	B	42.792387	-73.907265
brick_house_TAVERN_+_TAP	B	42.751937	-73.765582
Lorenzos_Italian_Cafe	B	42.79139	-73.916876
LIDS	C	42.71054	-73.815694
Bacares_Michelle_MD	A	42.738943	-73.841283
House_of_Pops_Barbershop	B	42.796005	-73.922303
Family_Auto_Repair	C	42.789946	-73.942051
Albany_Advanced_Dental_Care	A	42.716155	-73.785706
LINE-X	E	42.744762	-73.863177
21_Below_Thai_Rolling_Ice_Cream	B	42.770907	-73.824295
FedEx	C	42.717549	-73.809431
New_York_State_Council_of_Catholic_Schl_Sprntndnts	A	42.658537	-73.768454
Guido's_Frozen_Desserts	B	42.663031	-73.775821
Wexler_Donald_MD	A	42.804495	-73.915997
Parikh_Shirish_MD	A	42.758068	-73.777363
Virjee_S_A_DMD	A	42.727013	-73.702434
Eclectic_Hair_Studio	B	42.762945	-73.799247
A_Plus	C	42.774523	-73.698012
JCPenney	C	42.687751	-73.847229
Market_Bistro	C	42.753526	-73.756932
Adams_Frank_Jewelers	C	42.684361	-73.839334
Eric_Mitchell_Salon	B	42.777634	-73.901292
Niskayuna_Electrolysis	A	42.811659	-73.885454
M&T_Bank	C	42.80181	-73.899001
CAP_COM_Federal_Credit_Union	C	42.672446	-73.809176
The_College_Of_Saint_Rose	A	42.664164	-73.785635
St_Peters_Health_Partners	A	42.769573	-73.822378
Lash_Blvd	B	42.712758	-73.828043
Logomotive_Promotions	E	42.690694	-73.808684
Northeastern_Fine_Jewelry	C	42.684902	-73.848016
Southwoods_Pediatric_Dentistry	A	42.683749	-73.77124
Mercury_Insurance	C	42.755774	-73.821685
John_D_Marcella_Appliances	C	42.800424	-73.948984
Sweet_Frog	B	42.772508	-73.893992
Capital_Cardiology_Associates	A	42.683682	-73.771093
Fucillo_Kia	C	42.767022	-73.889958
T.J._Maxx	C	42.696017	-73.847266
Shakil_A_Virjee_DMD_PC	A	42.727013	-73.702401
AutoZone	C	42.800526	-73.926133
U-Haul	C	42.749399	-73.868002
Latham_76_Diner	B	42.74035	-73.762508
The_Center_For_Nia_&_Yoga	B	42.724506	-73.841796
Bradley_Lise_DDS	A	42.772384	-73.821906
Denooyer_Collision_Center	D	42.717648	-73.806344
Northeast_Acura	C	42.764017	-73.756329
Sisters_of_Mercy	A	42.666336	-73.787524
Arian_Kabob_&amp_Pizza	B	42.774923	-73.89736
Our_World_Montessori	A	42.810216	-73.893051
Talma_Theodore_MD	A	42.758091	-73.777246
Blowfish	B	42.68723	-73.858563
Grace_Bible_Church	A	42.803607	-73.733568
Putting_On_the_Dog	B	42.764282	-73.814866
Christopher_R_Walsh_DDS	A	42.691449	-73.869346
PetSmart	C	42.695975	-73.847053
Boght_Hills_School	A	42.775288	-73.756748
McDonald's	B	42.768934	-73.891811
