category	latitude	longitude
M	42.728616	-73.743156
CC	42.753304	-73.777339
SR	42.707008	-73.807556
ST	42.761036	-73.821502
ST	42.711077	-73.816115
V	42.800477	-73.897087
ST	42.777111	-73.900763
K	42.754567	-73.771034
M	42.745771	-73.810099
SR	42.709549	-73.864287
K	42.79754	-73.922843
ST	42.733143	-73.85749
U	42.73327	-73.711013
R	42.782165	-73.89047
ST	42.791176	-73.914053
SR	42.681537	-73.793439
K	42.769312	-73.820068
K	42.662046	-73.776754
CC	42.693894	-73.771915
ST	42.711322	-73.814389
ER	42.937299	-73.656249
K	42.689354	-73.850557
K	42.783899	-73.916962
SR	42.677274	-73.824552
ER	42.666156	-73.848196
ST	42.737523	-73.797885
ST	42.714419	-73.829858
U	42.727449	-73.795532
ST	42.784794	-73.944699
ST	42.753393	-73.760039
CC	42.693042	-73.873354
ST	42.762102	-73.796829
ST	42.712662	-73.815294
ST	42.690734	-73.866573
M	42.792357	-73.916933
SR	42.731104	-73.70424
SR	42.792387	-73.907265
K	42.751937	-73.765582
K	42.79139	-73.916876
ST	42.71054	-73.815694
CC	42.738943	-73.841283
ST	42.789946	-73.942051
CC	42.716155	-73.785706
M	42.744762	-73.863177
K	42.770907	-73.824295
SR	42.717549	-73.809431
K	42.663031	-73.775821
CC	42.804495	-73.915997
CC	42.758068	-73.777363
CC	42.727013	-73.702434
U	42.774523	-73.698012
WT	42.687751	-73.847229
G	42.753526	-73.756932
ST	42.684361	-73.839334
ST	42.811659	-73.885454
R	42.80181	-73.899001
R	42.672446	-73.809176
CC	42.769573	-73.822378
MF	42.690694	-73.808684
ST	42.684902	-73.848016
CC	42.683749	-73.77124
R	42.755774	-73.821685
ST	42.800424	-73.948984
K	42.772508	-73.893992
CC	42.683682	-73.771093
SR	42.767022	-73.889958
WT	42.696017	-73.847266
CC	42.727013	-73.702401
ST	42.800526	-73.926133
M	42.749399	-73.868002
K	42.74035	-73.762508
ER	42.724506	-73.841796
CC	42.772384	-73.821906
SR	42.717648	-73.806344
SR	42.764017	-73.756329
V	42.666336	-73.787524
K	42.774923	-73.89736
CC	42.758091	-73.777246
K	42.68723	-73.858563
V	42.803607	-73.733568
SR	42.764282	-73.814866
CC	42.691449	-73.869346
ST	42.695975	-73.847053
K	42.768934	-73.891811
K	42.681722	-73.768962
M	42.78487	-73.943692
G	42.735115	-73.700481
K	42.700909	-73.820539
CC	42.688657	-73.776615
ST	42.73274	-73.855292
CC	42.830041	-73.9034
R	42.720131	-73.807681
R	42.732501	-73.849281
V	42.66924	-73.786971
U	42.765263	-73.938227
AS	42.677708	-73.829014
SR	42.784031	-73.945893
SR	42.772159	-73.71568
ST	42.778146	-73.900884
ER	42.688354	-73.847666
ER	42.802019	-73.863553
R	42.69349	-73.878192
ER	42.745254	-73.857129
K	42.804564	-73.902869
ST	42.826251	-73.90809
ER	42.697405	-73.885536
K	42.707516	-73.774835
CC	42.788724	-73.913859
ER	42.734874	-73.762743
CC	42.72599	-73.761346
CC	42.750844	-73.763383
SR	42.725493	-73.82367
SR	42.732136	-73.852942
CC	42.734967	-73.79297
ST	42.774603	-73.889642
R	42.762201	-73.751174
SR	42.746926	-73.786805
K	42.709661	-73.821585
ER	42.689334	-73.848415
ST	42.754621	-73.756357
M	42.728508	-73.846452
V	42.773696	-73.695049
CC	42.713562	-73.813521
G	42.781715	-73.905048
SR	42.761061	-73.818492
CC	42.773604	-73.935004
M	42.755201	-73.762072
R	42.7158	-73.81448
AS	42.686832	-73.852416
ST	42.804431	-73.904584
ER	42.691164	-73.868036
K	42.707655	-73.777157
CC	42.802428	-73.898652
ER	42.745287	-73.750839
ST	42.745002	-73.753817
SR	42.772566	-73.895681
K	42.689204	-73.849816
ST	42.689897	-73.849907
M	42.685977	-73.842399
ST	42.689085	-73.849
M	42.705725	-73.860884
M	42.772857	-73.700788
M	42.740572	-73.807429
ST	42.712663	-73.828122
K	42.710331	-73.817292
ER	42.698451	-73.828752
CC	42.796794	-73.892811
ST	42.804358	-73.904242
ST	42.737861	-73.761752
ST	42.68932	-73.848418
U	42.7974	-73.923924
K	42.780388	-73.903301
K	42.803256	-73.861905
ST	42.683401	-73.84044
ER	42.804974	-73.904446
CC	42.726422	-73.701562
SR	42.71747	-73.838285
R	42.690492	-73.868057
M	42.757264	-73.769098
K	42.803654	-73.864613
CC	42.674354	-73.815347
CC	42.69322	-73.87324
K	42.664182	-73.78531
SR	42.780006	-73.933657
CC	42.758116	-73.7772
P	42.722291	-73.75695
CC	42.678292	-73.84456
SR	42.703475	-73.745774
R	42.690546	-73.866184
ST	42.684983	-73.792173
CC	42.814865	-73.891113
CC	42.70756	-73.861099
K	42.728145	-73.761156
ST	42.706434	-73.826436
CC	42.693898	-73.771922
CC	42.759071	-73.777148
CC	42.684736	-73.837723
MF	42.772539	-73.754361
ST	42.689641	-73.85158
R	42.737498	-73.844227
CC	42.685478	-73.839067
G	42.799987	-73.948605
G	42.791593	-73.92502
K	42.676615	-73.824606
K	42.71025	-73.81653
ST	42.738712	-73.762781
CC	42.688118	-73.773156
ST	42.724186	-73.700937
WT	42.701448	-73.8303
ST	42.736168	-73.764583
CC	42.726884	-73.938158
WT	42.695523	-73.847106
CC	42.745188	-73.865044
CC	42.672993	-73.81322
K	42.661061	-73.781927
ER	42.705821	-73.835268
ST	42.785604	-73.941729
ER	42.674534	-73.834273
K	42.676494	-73.824099
K	42.676454	-73.82392
SR	42.772754	-73.715815
CC	42.769628	-73.700693
K	42.713352	-73.813801
K	42.781579	-73.951727
ST	42.77	-73.701732
SR	42.693594	-73.804751
M	42.731868	-73.70723
CC	42.721406	-73.863705
CC	42.682144	-73.847723
ST	42.782482	-73.94193
CC	42.6893	-73.774632
ST	42.727952	-73.861199
ST	42.689248	-73.849798
M	42.744258	-73.74887
R	42.781535	-73.904849
U	42.757791	-73.75818
ST	42.68977	-73.851118
ER	42.726989	-73.854154
R	42.774299	-73.695905
SR	42.727406	-73.828088
V	42.752734	-73.779903
U	42.689306	-73.848395
ER	42.756999	-73.856912
ST	42.732983	-73.792275
SR	42.684198	-73.84095
M	42.763562	-73.754271
M	42.851794	-73.936376
K	42.791134	-73.939308
K	42.771945	-73.700559
CC	42.688071	-73.773152
M	42.708392	-73.779163
V	42.66328	-73.776258
ST	42.689656	-73.851525
SR	42.723153	-73.838597
ST	42.776139	-73.891706
ST	42.689535	-73.849756
U	42.724881	-73.706235
SR	42.738553	-73.791609
K	42.677335	-73.823188
ST	42.703999	-73.827487
ST	42.738393	-73.762764
CC	42.823086	-73.881457
ST	42.684023	-73.838906
SR	42.680387	-73.879271
ST	42.737206	-73.763574
K	42.784103	-73.918558
ER	42.727567	-73.759808
ST	42.708811	-73.817191
ST	42.710956	-73.81543
ST	42.688638	-73.860518
ST	42.765453	-73.808575
M	42.762359	-73.797469
R	42.730702	-73.703165
SR	42.74293	-73.746804
SR	42.793601	-73.936943
ST	42.709299	-73.817279
M	42.7217	-73.863086
CC	42.709032	-73.863081
K	42.762453	-73.939817
SR	42.717122	-73.831758
ER	42.714711	-73.705315
ST	42.742735	-73.762586
SR	42.767193	-73.889907
ST	42.688168	-73.860461
K	42.724953	-73.799957
ST	42.729512	-73.701863
CC	42.775879	-73.701746
SR	42.789357	-73.912461
ST	42.738698	-73.762679
K	42.769718	-73.892657
K	42.778249	-73.709802
R	42.775379	-73.833685
K	42.715956	-73.706158
ST	42.690001	-73.851315
CC	42.726869	-73.93813
M	42.786552	-73.911351
K	42.785064	-73.945644
X	42.744505	-73.902143
V	42.795213	-73.884033
K	42.717395	-73.813001
U	42.815848	-73.892236
SR	42.788297	-73.94508
K	42.688502	-73.861653
K	42.756476	-73.758538
ST	42.742933	-73.74187
ST	42.69028	-73.851786
CC	42.684423	-73.794058
CC	42.830745	-73.891035
CC	42.685401	-73.838963
ST	42.791831	-73.915985
K	42.68923	-73.849781
U	42.757823	-73.758194
SR	42.766451	-73.887722
CC	42.68928	-73.777657
CC	42.688472	-73.775559
ST	42.761846	-73.749141
CC	42.693911	-73.771915
G	42.765215	-73.700507
X	42.828913	-73.887833
V	42.787452	-73.916399
ST	42.782547	-73.942727
ST	42.727786	-73.761191
M	42.746554	-73.763213
ST	42.774784	-73.892988
V	42.724784	-73.701739
SR	42.74238	-73.838499
K	42.800071	-73.928316
K	42.696875	-73.883808
K	42.783008	-73.948385
CC	42.686625	-73.841376
G	42.776171	-73.892591
ST	42.711082	-73.816137
SR	42.7944	-73.917519
ST	42.710998	-73.816009
CC	42.772736	-73.750542
ER	42.717543	-73.935795
K	42.761914	-73.796345
ER	42.677477	-73.827208
K	42.726133	-73.797325
K	42.689711	-73.865855
M	42.715239	-73.812974
AS	42.754677	-73.769505
R	42.685603	-73.842818
ST	42.735066	-73.76266
K	42.663031	-73.775803
U	42.815867	-73.892867
U	42.729139	-73.760073
K	42.761153	-73.754608
ST	42.683771	-73.839631
K	42.755414	-73.773497
CC	42.783757	-73.916773
CC	42.758337	-73.777396
ST	42.785525	-73.910462
SR	42.731957	-73.701484
SR	42.77177	-73.752195
ER	42.782934	-73.890562
ST	42.804979	-73.904427
SR	42.747457	-73.866149
CC	42.77215	-73.753017
G	42.795595	-73.943416
ST	42.714233	-73.810285
SR	42.730452	-73.794283
K	42.676952	-73.82553
ST	42.688	-73.848161
K	42.682233	-73.842252
ER	42.694535	-73.818186
SR	42.760983	-73.791721
CC	42.693901	-73.771904
SR	42.735618	-73.763779
CC	42.757814	-73.776786
SR	42.787996	-73.941146
CC	42.761055	-73.818488
K	42.715799	-73.812334
CC	42.697364	-73.885551
K	42.689277	-73.774647
ST	42.702696	-73.824981
K	42.687237	-73.858444
AS	42.725564	-73.795356
ST	42.707038	-73.825718
G	42.772364	-73.824539
CC	42.6855	-73.765634
ST	42.688968	-73.848584
K	42.689225	-73.84993
ST	42.786909	-73.711813
CC	42.750788	-73.757955
K	42.805067	-73.903936
ST	42.790233	-73.940135
R	42.752044	-73.779246
CC	42.683263	-73.846759
K	42.702458	-73.814876
ST	42.680648	-73.83798
ST	42.708223	-73.776312
ST	42.784415	-73.90793
K	42.770295	-73.700122
MF	42.660067	-73.779452
ST	42.698188	-73.847953
CC	42.794557	-73.919587
K	42.771437	-73.892556
SR	42.727418	-73.842781
K	42.757967	-73.8191
K	42.824828	-73.911293
SR	42.687207	-73.860364
ST	42.744901	-73.862938
WT	42.70527	-73.824151
SR	42.715712	-73.841035
K	42.783612	-73.913655
K	42.782658	-73.949149
SR	42.792492	-73.940687
CC	42.712719	-73.87297
G	42.697174	-73.76886
CC	42.771007	-73.755823
K	42.77421	-73.701423
K	42.728328	-73.798723
ST	42.718123	-73.832818
CC	42.806779	-73.910535
SR	42.768244	-73.753065
CC	42.770401	-73.756927
ST	42.689305	-73.848406
ST	42.727367	-73.706297
K	42.689457	-73.850723
ST	42.739312	-73.736074
CC	42.806524	-73.909918
SR	42.734793	-73.781603
ST	42.691838	-73.812742
ST	42.687875	-73.847267
CC	42.742988	-73.742509
CC	42.772045	-73.75667
ST	42.727633	-73.761136
M	42.727388	-73.844849
G	42.661233	-73.774148
AS	42.723775	-73.801818
V	42.662008	-73.775379
K	42.689574	-73.850341
K	42.729295	-73.796752
K	42.774827	-73.891998
ER	42.686794	-73.856083
ER	42.716338	-73.805418
ST	42.754111	-73.756555
ER	42.744676	-73.838065
U	42.766197	-73.814588
SR	42.763023	-73.752868
SR	42.729457	-73.853452
M	42.708572	-73.862565
CC	42.802136	-73.897875
U	42.747399	-73.759282
R	42.727825	-73.759802
SR	42.738106	-73.767838
ST	42.723014	-73.936205
K	42.744646	-73.838139
ER	42.733325	-73.853921
CC	42.683727	-73.771215
ER	42.775558	-73.750595
U	42.764181	-73.80131
CC	42.70117	-73.84947
CC	42.683755	-73.77124
R	42.714916	-73.876996
ST	42.694547	-73.820021
ST	42.731449	-73.705653
CC	42.781874	-73.950566
SR	42.764693	-73.885186
SR	42.78112	-73.705986
R	42.69041	-73.865562
K	42.72751	-73.761133
ER	42.745271	-73.750841
ST	42.740153	-73.859676
K	42.784868	-73.943694
ST	42.689049	-73.848979
CC	42.772735	-73.752249
ST	42.684957	-73.840016
SR	42.681001	-73.794128
X	42.724343	-73.772951
M	42.743489	-73.749082
CC	42.690349	-73.867574
SR	42.727965	-73.846249
WT	42.758971	-73.759647
SR	42.751104	-73.778258
K	42.738089	-73.762983
K	42.689	-73.851429
