occupation	latitude	longitude	zipcode
Wenacur_Russell_MD	A	42.7846	-73.653251	12182

Lisa_Lourie	C	42.985499	-73.853937	12020

Pizza_Time	B	43.048292	-73.844924	12020

Automotive_Lockout_Service	D	43.093562	-73.774284	12866

Capital_Hills_at_Albany	B	42.642575	-73.813194	12208

Cole's_Collision_Center_of_Ballston_Spa	D	43.013441	-73.846316	12020

Boys_&_Girls_Clubs_of_America	B	42.66837	-73.774989	12206

Historic_Ardsley	C	42.715723	-73.669495	12180

Beer_Yoram	A	42.865037	-73.788272	12065

Burrello_Mechanicville_Airport	E	42.892111	-73.667626	12118

Turtle_Moon_Acupuncture	A	43.089074	-73.827515	12866

Top_Nails	B	43.015939	-73.844185	12020

Ontario_Park	B	42.621222	-73.727337	12144

Sullivan_Dr_Julie_Fink	A	43.082037	-73.789401	12866

Casa_Dominicana	B	42.663625	-73.771531	12206

Saratoga	A	43.058362	-73.771695	12866

Pai's_Academy_of_Taekwondo	B	42.848726	-73.754224	12065

Aldam_Angela	A	42.654687	-73.807482	12208

R_S_Taylor_&_Sons_Brewery_Taproom	B	43.077232	-73.789323	12866

Aquilonia_Comics	C	42.732512	-73.688204	12180

Richter_Susan_MD	A	42.665549	-73.768473	12206

DCI_Rubin_Clifton_Park	A	42.855203	-73.770693	12065

Visionworks	A	42.867588	-73.930435	12302

Scotia_Glenville_Children's_Museum	B	42.82767	-73.968567	12302

Anova_Medical_Supply	A	42.675765	-73.694726	12180

Dunkin'	B	42.785141	-73.67318	12182

Saratoga_County_DMV_Office	A	42.858519	-73.778081	12065

SmartStyle_Family_Hair_Salons	B	42.64101	-73.701917	12144

MI_Ecuador_Juice_Bar_and_Latin_Cuisine	B	42.619336	-73.733882	12144

Olde_Saratoga_Home_&_Garden	D	43.103171	-73.641921	12866

VENT_Fitness_Clifton_Park	B	42.869559	-73.823911	12065

Capital_Financial_Advisors	A	42.874307	-73.778638	12065

Andy's_Auto_Svce	D	42.618894	-73.72937	12144

Saratoga_Zymurgist	C	43.089631	-73.769683	12866

Edward_Jones	A	42.852526	-73.756275	12065

Lee_Investment_Management	A	43.081537	-73.784411	12866

