latitude	longitude	zipcode	category
42.7846	-73.653251	12182	CC
42.985499	-73.853937	12020	M
43.048292	-73.844924	12020	K
43.093562	-73.774284	12866	SR
42.642575	-73.813194	12208	ER
43.013441	-73.846316	12020	SR
42.66837	-73.774989	12206	SR
42.715723	-73.669495	12180	R
42.865037	-73.788272	12065	CC
42.892111	-73.667626	12118	M
43.089074	-73.827515	12866	CC
42.621222	-73.727337	12144	ER
43.082037	-73.789401	12866	CC
42.663625	-73.771531	12206	K
43.058362	-73.771695	12866	ER
42.848726	-73.754224	12065	ER
42.654687	-73.807482	12208	CC
43.077232	-73.789323	12866	K
42.732512	-73.688204	12180	ST
42.665549	-73.768473	12206	CC
42.867588	-73.930435	12302	CC
42.82767	-73.968567	12302	ER
42.675765	-73.694726	12180	CC
42.785141	-73.67318	12182	K
42.858519	-73.778081	12065	M
42.619336	-73.733882	12144	K
43.103171	-73.641921	12866	SR
42.869559	-73.823911	12065	ER
42.874307	-73.778638	12065	M
42.618894	-73.72937	12144	SR
43.089631	-73.769683	12866	ST
42.852526	-73.756275	12065	M
43.081537	-73.784411	12866	M
43.082103	-73.78492	12866	CC
42.858941	-73.783302	12065	K
43.093305	-73.743593	12866	ST
42.622309	-73.834175	12054	CC
42.967274	-73.799507	12020	AS
42.748563	-73.681454	12180	G
42.865244	-73.783731	12065	R
42.786959	-73.666259	12182	K
42.895554	-73.68857	12118	CC
42.96794	-73.799511	12020	AS
42.622193	-73.738046	12144	ST
42.852587	-73.755797	12065	ST
42.73282	-73.685201	12180	CC
42.705582	-73.659381	12180	ST
42.665673	-73.741436	12204	MF
42.622847	-73.834313	12054	ST
42.840506	-73.982223	12302	ST
42.790291	-74.003092	12306	G
43.05524	-73.801993	12866	ER
42.669758	-73.777336	12206	SR
43.087002	-73.806908	12866	CC
42.668548	-73.77635	12206	K
43.083874	-73.805449	12866	CC
43.012087	-73.785776	12020	V
42.864751	-73.769402	12065	MF
42.860199	-73.780215	12065	K
42.646541	-73.697168	12144	K
42.862411	-73.783271	12065	M
42.826633	-73.965618	12302	CC
42.664858	-73.774893	12206	SR
42.793101	-73.990533	12306	K
