occupation	latitude	longitude	zipcode
Crispy_Basil_Artisan_Pizza_Latham	B	42.736907	-73.761583
Hair_by_Kaylena	B	42.737205	-73.763594
Bob_&_Ron's_Fish_Fry	B	42.685038	-73.795296
Athleta	C	42.688427	-73.847912
DiNapoli_Opticians	A	42.684378	-73.841074
Biggs_Bradley_PHD	A	42.665407	-73.789131
Ferris_Coin_&_Jewelry_Co	C	42.723324	-73.799437
Homewood_Suites_by_Hilton	B	42.687259	-73.852967
Sondra's_Fine_Jewelry	C	42.80444	-73.904591
MGX_Fitness	B	42.691164	-73.868036
Lanie's_Cafe	B	42.707591	-73.777188
Kent_Molino_DDS	A	42.80243	-73.898655
Spare_Time_Latham	B	42.745287	-73.750839
St_Clare's_Church	A	42.740092	-73.857478
Sabai_M	A	42.672124	-73.790594
Quest_Diagnostics	A	42.684695	-73.83772
Petco	C	42.736471	-73.764436
Miami_Sun_Tanning	B	42.678405	-73.828255
Cusato's_Pizzeria	B	42.735665	-73.702096
Exxon_Mobil	C	42.689647	-73.80064
Beauty_At_Your_Service	B	42.71867	-73.808161
Orkin	D	42.737241	-73.793861
Farrell_Peter_A_Investment_Management_Svces	A	42.683469	-73.764843
Hometowne_Pizzeria	B	42.772709	-73.701099
CareNet_Medical_Group	A	42.828674	-73.889675
Prima_Pizzeria	E	42.7697	-73.892676
West_Albany_Fire_Department_Station_1_Sand_Creek_Road	A	42.692061	-73.784862
Cusato's_Pizzeria	B	42.782535	-73.949551
The_Edge_Skate_Sharpening_&_Profiling	C	42.712663	-73.828122
Lipstik_Beauty_Lounge	B	42.702092	-73.817889
Apropos_Prom_&_Bridal	C	42.690734	-73.866573
Enterprise_Rent-A-Car	C	42.792357	-73.916933
Reds_Field	B	42.71635	-73.705341
NexGen_Indoor_Golf_Center	B	42.770849	-73.82427
Play_It_Again_Sports	C	42.762281	-73.797747
Jean_Paul_Salon	B	42.727786	-73.761141
51Vape_Schenectady	C	42.760703	-73.882386
Stephen_J_Conway_DDS	A	42.751387	-73.759384
Mobil	C	42.70382	-73.816496
Avila	B	42.700237	-73.857487
Maestro_Barbershop	B	42.762334	-73.797559
Northeast_Psychological_Associates	A	42.7389	-73.841064
Quality_Inn	B	42.719299	-73.837097
Albany_Hypnosis_Center	B	42.744112	-73.837686
Gepettos_Pizzeria_and_Catering	B	42.772436	-73.701242
Mavis_Discount_Tire	D	42.734151	-73.852524
Ada's_Spirit_Works	C	42.755018	-73.874842
Heritage_Baptist_Church_Of_Latham	A	42.76649	-73.703212
Northeast_IS	C	42.73861	-73.820815
ULTA_Beauty	A	42.771836	-73.892613
Mario's_Restaurant_&_Pizzeria	B	42.803256	-73.861905
tru_by_Hilton	B	42.746027	-73.82355
Armory_Chrysler_Dodge_Jeep_Ram_FIAT_of_Albany_Service	C	42.680954	-73.793337
Wendy's	B	42.769312	-73.820049
Chang's_Garden	B	42.66204	-73.776743
Repsher_&_Associates_Physical_Therapy	A	42.693894	-73.771915
TD_Bank	C	42.697532	-73.810721
Caliber_Collision	D	42.718875	-73.83293
Eden_Cafe	B	42.70754	-73.774811
McCambley_John_DMD	A	42.788715	-73.913851
Shear_Perfection	B	42.734267	-73.851381
Fitness_Artist	B	42.734874	-73.762753
Albany_Health_Management_Assoc	A	42.725978	-73.761304
Vallecorsa_J_David_DDS	A	42.750844	-73.763383
Mohonasen_Senior_High_School	A	42.76885	-73.956816
Visionworks	A	42.685187	-73.795489
Peter_Harris_Clothes	C	42.762102	-73.796829
Metro_Mattress	C	42.712662	-73.815294
LongHorn_Steakhouse	B	42.719405	-73.806247
Hair_Loss_Control_Clinic	B	42.770406	-73.756088
United_Buffet	B	42.783982	-73.916942
UniFirst_Uniforms_Albany	C	42.739298	-73.724774
Monocrete_Steps	C	42.721627	-73.720758
Hibachi_Express	B	42.792497	-73.917102
Stewart's_Shops	C	42.686926	-73.854341
Raymond_James_Financial	A	42.682974	-73.846982
No_1_Chinese_Restaurant	B	42.800112	-73.926733
Allstate_Insurance	C	42.761211	-73.792396
Adirondack_Advantage_Driving_School	A	42.691889	-73.777233
Tri_City_Fitness	B	42.76451	-73.757898
NBT_Bank	C	42.756827	-73.776751
Childhood_Friends_Inc	A	42.766599	-73.938889
Make_Your_Mark_Tattoo_Studio	B	42.700881	-73.814276
NicholasJade_Salon	B	42.740252	-73.858205
Sanjiv_Kayastha_MD_K_Plastic_Surgery	A	42.75783	-73.776787
V_Salon	B	42.676001	-73.822424
Cool_Insuring_Agency	C	42.758096	-73.78325
Pro_Martial_Arts_Colonie	A	42.729847	-73.850313
Red_Lobster	B	42.722448	-73.802483
Langes_Pharmacy	A	42.815992	-73.894213
Allstate_Insurance	C	42.7317	-73.761479
Hershey_John_M_Psyd	A	42.73892	-73.841073
PCI_Tire_&_Service	C	42.773654	-73.929989
CoreLife_Eatery	B	42.678261	-73.827874
Latham_Bible_Baptist_Church	A	42.735805	-73.753137
Ed's_Glass	D	42.787754	-73.941489
Book_House_of_Stuyvesant_Plaza	C	42.684463	-73.839396
Kinkaid_Family_Chiropractic	A	42.693128	-73.873291
State_Street_Grocery	C	42.790549	-73.915089
Lyles_Hoagies	B	42.784453	-73.907945
Inferno_Pizzeria	B	42.738202	-73.7279
House_of_Pops_Barbershop	B	42.796047	-73.922222
Family_Auto_Repair	C	42.789722	-73.941994
Albany_Advanced_Dental_Care	A	42.716155	-73.785706
LINE-X	E	42.744687	-73.863208
Mitola_Family_Dentistry	A	42.775226	-73.701649
21_Below_Thai_Rolling_Ice_Cream	B	42.770835	-73.824323
Mobil	C	42.784556	-73.913105
