occupation	latitude	longitude	zipcode
Home_of_the_Good_Shepherd	B	42.982937	-73.78891	12020

The_Liferaft	B	42.732409	-73.674152	12180

Saratoga_County_Forest	B	43.03382	-73.89671	12020

Western_Union	C	42.865326	-73.782954	12065

Racquet_World	C	42.899148	-73.792253	12065

C_&_C_Unisex_Hair_Salon	B	43.102242	-73.739315	12866

Famous_Lunch	B	42.728717	-73.688976	12180

Citizens_Bank	C	42.863599	-73.786132	12065

Shoe_Dept_Encore	C	43.102052	-73.736771	12866

Abelson_Test_Prep	A	42.990732	-73.718954	12866

St_John's_Lutheran_Church_Elca	A	42.660959	-73.768806	12206

Allstate_Insurance	C	43.09461	-73.744466	12866

Brookside_Farms_Nursery	C	42.972286	-73.835176	12020

Boho_Chic_Boutique	C	43.002564	-73.851905	12020

Lansingburgh_Senior_High_School	A	42.763163	-73.674275	12182

Envy_Hair_Salon	B	42.847004	-73.941386	12302

K_C_Custom_Framing	C	43.124065	-73.766608	12866

Alfred_W_Hollis_DDS	A	43.083642	-73.776399	12866

Little_Heck's	C	43.117364	-73.770172	12866

Needle_Wurks	B	43.077367	-73.789734	12866

2001_Central_Insurance_Agency	C	42.97538	-73.790074	12020

Edward_Jones	A	43.078549	-73.788653	12866

Clifton_Park_Driving_Range	B	42.873662	-73.770945	12065

LabCorp	A	42.683775	-73.803143	12206

Longfellows	B	43.061452	-73.728524	12866

Black_Mountain_Wine_&_Liquor	C	42.794935	-74.007996	12306

Hannaford_Supermarkets	C	42.628165	-73.810662	12054

Trager_Stephen_A_DDS	A	42.867011	-73.821015	12065

Agape_Eye_Care	A	42.977751	-73.788428	12020

Albany_Eye_Associates_Optical	A	42.673288	-73.7488	12204

Moxie	C	43.088087	-73.778526	12866

Dunkin'	B	42.738565	-73.673532	12180

Svana_Beauty_Lounge	B	43.089481	-73.773048	12866

Smith_R_L_Sales	D	42.584271	-73.739093	12144

The_Merry_Monk	B	43.082242	-73.782153	12866

Ahmadiyya_Muslim_Community_Centre_Albany_Chapter	A	42.857764	-74.026693	12306

Fourth_Street_Market	C	42.728932	-73.689335	12180

Chris's_Southern_Connection	B	42.65262	-73.768492	12208

Western_Union	C	42.822373	-73.77891	12065

Subway	B	42.665304	-73.790599	12208

Peck's_Arcade	B	42.7312	-73.6912	12180

Randy's_Tire_&_Service	C	42.845494	-73.941208	12302

Re_Max_Platinum	C	42.693205	-73.687813	12180

Mangino's	B	42.986247	-73.754981	12866

Taft_Furniture	C	43.07206	-73.793639	12866

Indzonka_Peter_F_Dmd	A	42.659826	-73.780059	12208

Debbie's_Kitchen	C	42.652764	-73.768644	12208

Jumpin'_Jack's_Drive_In	B	42.82212	-73.956538	12302

Xtramart	C	42.908796	-73.898992	12019

Midtown_Tap_&_Tea_Room	B	42.653384	-73.7883	12208

Hounds_On_The_Hudson	B	42.653111	-73.7693	12208

Capital_Region_Orthopaedics_Bone_And_Joint_Center	A	42.686492	-73.811597	12206

Whitney_M_Young_Jr_Health_Services	A	42.756249	-73.681713	12180

CITGO	C	42.885431	-73.926045	12302

Kaffee_House	B	43.07699	-73.80321	12866

Crescent_Estates_Park	B	42.808798	-73.773042	12065

Pacific_Industries	C	42.835982	-73.982808	12302

Malta_Child_Care_Center_Malta_Commons	A	42.968587	-73.798084	12020

The_Daily_Grind	B	42.730668	-73.690019	12180

GameStop	C	43.099846	-73.741736	12866

Stewart's_Shops	C	42.728725	-73.687822	12180

Stewart's_Shops	C	42.645631	-73.739211	12144

Gochee's_Garage	D	42.624028	-73.829064	12054

Subway	B	42.634148	-73.746436	12144

Kings_Station_Cemetery	B	43.171589	-73.760447	12866

Uncle_Sam_Outfitters	C	42.749612	-73.632804	12180

Subway	B	42.622241	-73.833983	12054

Nibble	B	42.731055	-73.689934	12180

LUKOIL_North_America	C	42.796063	-73.96901	12306

Saratoga_Springs_Police_Department_NY_Saratoga_Springs_New_York	A	43.083357	-73.784384	12866

Mexican_Connection	B	43.06781	-73.772269	12866

Weight_Watchers	B	42.646107	-73.777704	12208

Applebee's	B	43.102204	-73.747594	12866

CAP_COM_Federal_Credit_Union	C	42.870364	-73.774549	12065

Trustco	C	42.793626	-73.679982	12188

Starbucks	B	42.646337	-73.697259	12144

The_Dead_Presidents_Lounge	B	42.665776	-73.792336	12208

Anglin_Chiropractic_Office	A	42.745915	-73.674344	12180

Superior_Body_Works	D	42.822613	-73.928788	12308
