latitude	longitude	zipcode	category
42.732409	-73.674152	12180	ER
43.03382	-73.89671	12020	ER
42.865326	-73.782954	12065	R
42.899148	-73.792253	12065	ST
42.728717	-73.688976	12180	K
42.863599	-73.786132	12065	R
43.102052	-73.736771	12866	ST
42.660959	-73.768806	12206	V
43.09461	-73.744466	12866	R
42.972286	-73.835176	12020	ST
43.002564	-73.851905	12020	ST
43.124065	-73.766608	12866	ST
43.083642	-73.776399	12866	CC
43.117364	-73.770172	12866	ST
42.97538	-73.790074	12020	R
43.078549	-73.788653	12866	M
42.873662	-73.770945	12065	ER
43.061452	-73.728524	12866	K
42.794935	-74.007996	12306	ST
42.628165	-73.810662	12054	G
42.867011	-73.821015	12065	CC
42.977751	-73.788428	12020	ST
42.673288	-73.7488	12204	ST
43.088087	-73.778526	12866	ST
42.738565	-73.673532	12180	K
42.584271	-73.739093	12144	SR
43.082242	-73.782153	12866	K
42.857764	-74.026693	12306	V
42.728932	-73.689335	12180	G
42.65262	-73.768492	12208	K
42.822373	-73.77891	12065	R
42.665304	-73.790599	12208	K
42.7312	-73.6912	12180	K
42.845494	-73.941208	12302	ST
42.693205	-73.687813	12180	M
42.986247	-73.754981	12866	K
43.07206	-73.793639	12866	ST
42.659826	-73.780059	12208	CC
42.652764	-73.768644	12208	G
42.82212	-73.956538	12302	K
42.908796	-73.898992	12019	U
42.653384	-73.7883	12208	K
42.653111	-73.7693	12208	SR
42.686492	-73.811597	12206	CC
42.756249	-73.681713	12180	CC
42.885431	-73.926045	12302	U
43.07699	-73.80321	12866	K
42.808798	-73.773042	12065	ER
42.835982	-73.982808	12302	ST
42.730668	-73.690019	12180	K
43.099846	-73.741736	12866	ST
42.728725	-73.687822	12180	G
42.645631	-73.739211	12144	G
42.624028	-73.829064	12054	SR
42.634148	-73.746436	12144	K
43.171589	-73.760447	12866	SR
42.749612	-73.632804	12180	WT
42.622241	-73.833983	12054	K
42.731055	-73.689934	12180	K
42.796063	-73.96901	12306	U
43.083357	-73.784384	12866	X
43.06781	-73.772269	12866	K
43.102204	-73.747594	12866	K
42.870364	-73.774549	12065	R
42.793626	-73.679982	12188	R
42.646337	-73.697259	12144	K
42.745915	-73.674344	12180	CC
42.822613	-73.928788	12308	SR
42.837404	-73.74312	12065	ST
42.81417	-73.924237	12308	V
43.08036	-73.786221	12866	M
42.860028	-73.76626	12065	SR
43.104182	-73.743079	12866	CC
42.86001	-73.780184	12065	ST
43.093546	-73.743228	12866	ST
42.622309	-73.834175	12054	CC
42.695941	-73.689571	12180	ST
42.663343	-73.721763	12144	V
42.868189	-73.819766	12065	R
43.083864	-73.788388	12866	M
43.09369	-73.743225	12866	ER
42.755881	-73.682065	12180	ST
42.646805	-73.700254	12144	K
43.080511	-73.804576	12866	SR
42.821271	-73.928169	12308	K
42.654174	-73.77594	12208	CC
42.875918	-73.774549	12065	CC
42.827917	-73.960262	12302	CC
42.840829	-73.748119	12065	M
42.983722	-73.786193	12020	K
43.08194	-73.78008	12866	V
42.730191	-73.693871	12180	K
42.903225	-73.79643	12019	G
42.847518	-73.942678	12302	K
42.761384	-73.681528	12180	V
42.841746	-73.94046	12302	R
42.655323	-73.804851	12208	CC
42.738935	-73.685905	12180	ST
43.082021	-73.784539	12866	K
42.664568	-73.789351	12208	ST
42.666894	-73.775856	12206	SR
42.816672	-73.928359	12308	SR
43.082757	-73.784248	12866	K
42.984756	-73.787294	12020	SR
43.103171	-73.641921	12866	ST
42.869616	-73.82391	12065	ER
42.874307	-73.778638	12065	M
42.731901	-73.687052	12180	V
42.868279	-73.771781	12065	CC
42.678695	-73.788752	12206	U
42.837485	-73.935635	12302	ST
42.885332	-73.911925	12302	ST
42.630637	-73.702987	12144	CC
42.609251	-73.72569	12144	ST
42.869537	-73.771471	12065	R
42.623073	-73.737911	12144	K
42.672042	-73.741996	12204	ER
43.077676	-73.785899	12866	M
42.786634	-73.997539	12306	U
42.629389	-73.810542	12054	K
42.679875	-73.69569	12180	ST
42.966193	-73.861554	12020	ER
42.73209	-73.690457	12180	ST
42.628339	-73.814807	12054	CC
42.907016	-73.698976	12118	ER
42.659863	-73.780149	12208	K
42.643537	-73.69968	12144	SR
42.703765	-73.724036	12204	SR
42.838916	-73.93665	12302	K
42.813486	-73.93347	12308	SR
43.082297	-73.784577	12866	K
43.086968	-73.806871	12866	ER
42.776769	-73.973406	12306	SR
43.120165	-73.725717	12866	K
42.631775	-73.702151	12144	K
42.8461	-73.758681	12065	M
42.748549	-73.681377	12180	G
42.873706	-73.9283	12302	ER
42.716994	-73.691929	12180	MF
43.003726	-73.849169	12020	ST
42.904131	-73.777673	12065	SR
42.86939	-73.932025	12302	U
43.096905	-73.746811	12866	ST
42.9038	-73.795494	12019	R
43.081126	-73.785408	12866	M
43.08251	-73.789618	12866	ST
42.624907	-73.829629	12054	SR
42.654096	-73.782097	12208	ST
42.667115	-73.768066	12206	SR
42.686211	-73.812399	12206	CC
43.084876	-73.789265	12866	M
42.904169	-73.777651	12065	M
42.706357	-73.712575	12204	K
42.787728	-73.97005	12306	V
43.080468	-73.78555	12866	ST
42.811856	-73.922672	12308	V
42.686833	-73.729297	12204	K
42.660789	-73.782699	12208	K
42.939525	-73.874511	12019	ER
42.655314	-73.80485	12208	CC
42.900153	-73.692929	12118	K
42.620935	-73.736468	12144	R
42.97155	-73.798024	12020	M
42.867131	-73.777958	12065	R
42.679845	-73.790829	12206	K
43.120025	-73.725885	12866	G
42.66926	-73.784428	12206	CC
43.002508	-73.874655	12020	ER
42.864264	-73.781492	12065	R
42.798104	-73.964986	12306	ST
42.756494	-73.681289	12180	G
42.638861	-73.747217	12144	X
42.975104	-73.939135	12020	ST
42.859398	-73.779765	12065	K
42.732851	-73.687839	12180	ER
43.107913	-73.734231	12866	ER
42.751981	-73.629298	12180	K
42.785939	-73.958044	12306	ST
42.767585	-73.676949	12182	SR
42.681581	-73.790421	12206	ST
42.744851	-73.64192	12180	ST
42.849525	-73.756829	12065	M
42.653524	-73.773941	12208	ST
43.083721	-73.784124	12866	NN
42.679143	-73.783297	12206	AS
42.973074	-73.795024	12020	G
42.740734	-73.678952	12180	SR
42.748024	-73.635466	12180	SR
42.756115	-73.67628	12180	ST
42.869203	-73.807186	12065	CC
42.644075	-73.69805	12144	K
42.627464	-73.809734	12054	M
42.690937	-73.821805	12206	U
42.859417	-73.775904	12065	SR
42.891731	-73.921783	12302	SR
42.599772	-73.745528	12144	U
43.076535	-73.787142	12866	V
43.08377	-73.784335	12866	ST
42.624123	-73.827074	12054	ST
42.901148	-73.760307	12065	K
42.975957	-73.78969	12020	CC
43.081706	-73.783157	12866	K
43.080266	-73.785378	12866	ER
42.640163	-73.701361	12144	ER
42.865055	-73.789748	12065	CC
42.864957	-73.770747	12065	ST
42.880592	-73.77354	12065	M
42.664761	-73.791799	12208	V
42.794974	-74.008001	12306	ST
42.631402	-73.80519	12054	SR
43.017619	-73.789737	12020	CC
42.626174	-73.820549	12054	CC
42.606387	-73.882599	12054	ST
42.936337	-73.807911	12019	G
43.016736	-73.844863	12020	ST
42.666103	-73.792018	12208	K
43.082079	-73.785644	12866	ST
43.099258	-73.751248	12866	SR
42.65402	-73.77261	12208	G
43.080397	-73.796305	12866	R
42.728736	-73.689317	12180	K
42.834379	-73.969641	12302	K
42.733857	-73.689081	12180	AS
42.937172	-73.807064	12019	U
42.730871	-73.693374	12180	ST
43.021828	-73.840475	12020	K
42.664987	-73.77241	12206	K
42.660154	-73.766883	12206	M
42.652732	-73.811782	12208	V
42.744889	-73.641838	12180	ST
42.760022	-73.680319	12180	CC
42.818538	-73.774484	12065	K
42.619919	-73.833795	12054	CC
43.095284	-73.663883	12866	SR
42.966381	-73.693217	12118	SR
42.822433	-73.744875	12065	SR
42.824933	-73.960906	12302	K
43.083698	-73.784329	12866	ST
42.716283	-73.694476	12180	V
43.075889	-73.802946	12866	CC
43.082732	-73.783616	12866	MF
42.673818	-73.783474	12206	M
42.65182	-73.769444	12208	V
42.832088	-73.915975	12308	SR
42.660609	-73.782364	12208	K
42.654687	-73.807482	12208	CC
43.077229	-73.789325	12866	K
42.732529	-73.688263	12180	ST
42.690412	-73.820538	12206	AS
42.872667	-73.776087	12065	M
42.735508	-73.687701	12180	V
43.083924	-73.805185	12866	CC
42.720521	-73.673831	12180	SR
42.895154	-73.77391	12065	SR
42.841856	-73.944381	12302	K
42.668561	-73.777323	12206	P
42.628328	-73.812496	12054	K
42.840421	-73.937667	12302	ER
42.703512	-73.687807	12180	G
42.671333	-73.780434	12206	K
42.653189	-73.776079	12208	CC
42.795578	-73.971382	12306	SR
42.869656	-73.773984	12065	K
42.915828	-73.826083	12019	V
42.724106	-73.663811	12180	SR
43.047453	-73.852568	12020	G
43.003514	-73.850351	12020	ST
42.631915	-73.743068	12144	G
43.086098	-73.79511	12866	CC
42.735752	-73.683643	12180	ST
42.664935	-73.772247	12206	K
42.857724	-73.778552	12065	ST
42.857381	-73.77247	12065	WT
42.746499	-73.683142	12180	K
42.684907	-73.736589	12204	V
42.737904	-73.664045	12180	CC
42.740162	-73.684852	12180	K
42.653147	-73.7761	12208	K
42.666139	-73.792041	12208	K
42.623459	-73.831778	12054	EE
42.789839	-73.960609	12306	SR
42.627347	-73.812404	12054	K
42.857379	-73.772498	12065	ST
42.993314	-73.850642	12020	K
42.875377	-73.774608	12065	M
42.731942	-73.690922	12180	K
43.08085	-73.785329	12866	ER
42.880312	-73.913454	12302	CC
42.62185	-73.835359	12054	V
42.865521	-73.778363	12065	AS
42.917703	-73.887178	12019	ST
42.609371	-73.725841	12144	K
42.642544	-73.700415	12144	M
43.055699	-73.72249	12866	ER
42.993913	-73.85026	12020	SR
42.626849	-73.819217	12054	SR
42.867782	-73.753434	12065	ST
42.861699	-73.784325	12065	K
42.738764	-73.686606	12180	AS
42.731242	-73.687901	12180	U
42.789633	-73.676193	12188	ER
42.85959	-73.763231	12065	K
42.776529	-73.586046	12180	SR
42.824821	-73.729124	12188	WT
42.735294	-73.687786	12180	K
42.705148	-73.660199	12180	K
42.740502	-73.65675	12180	U
42.750671	-73.632584	12180	ST
42.611841	-73.727883	12144	SR
42.630602	-73.703019	12144	CC
42.794896	-73.972877	12306	K
42.853243	-73.75714	12065	GG
42.85865	-73.770958	12065	ST
42.736222	-73.675918	12180	K
42.970371	-73.809964	12020	SR
43.015916	-73.844213	12020	K
43.101537	-73.772044	12866	SR
43.0991	-73.743261	12866	SR
43.07948	-73.782265	12866	MF
43.048326	-73.842277	12866	CC
43.089601	-73.769703	12866	ST
42.895839	-73.913581	12302	SR
42.863036	-73.785783	12065	NN
42.824172	-73.960442	12302	R
42.827234	-73.968185	12302	ST
42.728167	-73.692994	12180	ER
42.643285	-73.74216	12144	SR
42.786977	-73.990778	12306	SR
42.860976	-73.765944	12065	K
43.073578	-73.695346	12866	K
43.070861	-73.784688	12866	SR
42.827197	-73.965371	12302	K
42.667324	-73.743442	12204	M
42.712283	-73.670227	12180	V
42.66443	-73.773918	12206	SR
42.68264	-73.788777	12206	ST
42.85072	-73.756491	12065	SR
42.676971	-73.781836	12206	K
42.664569	-73.7719	12206	K
42.792786	-73.978	12306	SR
42.677639	-73.797042	12206	R
42.678285	-73.795608	12206	CC
43.08166	-73.787658	12866	SR
42.624942	-73.749891	12144	M
42.719213	-73.663171	12180	SR
42.821906	-73.922305	12308	V
42.648425	-73.772965	12208	R
42.987103	-73.851555	12020	ST
42.661467	-73.769452	12206	ST
42.734705	-73.687541	12180	K
42.878948	-73.772816	12065	CC
42.675255	-73.783972	12206	U
42.904748	-73.692571	12118	X
42.670352	-73.778447	12206	ER
43.046371	-73.849694	12020	G
42.861752	-73.770974	12065	ST
42.878554	-73.772827	12065	CC
42.73875	-73.685158	12180	ER
42.628147	-73.815848	12054	CC
42.922182	-73.883797	12019	ST
42.808491	-73.989057	12306	K
42.860512	-73.726859	12065	K
42.88504	-73.685684	12118	SR
43.103512	-73.769207	12866	ST
42.67964	-73.791173	12206	SR
42.663672	-73.760402	12206	V
42.797985	-73.994215	12306	CC
42.700482	-73.720843	12204	ST
42.738592	-73.675247	12180	K
42.623485	-73.739237	12144	ST
43.081153	-73.785158	12866	EE
43.079801	-73.785111	12866	ST
43.10202	-73.73796	12866	ST
42.820558	-73.929191	12308	K
42.735913	-73.683551	12180	CC
43.104208	-73.743072	12866	CC
42.744452	-73.684896	12180	ST
42.625543	-73.737125	12144	M
42.62299	-73.830118	12054	ST
42.730549	-73.690061	12180	ST
43.086496	-73.787899	12866	K
42.904471	-73.784281	12065	U
42.684712	-73.804834	12206	R
42.867418	-73.9268	12302	ER
42.628838	-73.8098	12054	ST
42.904268	-73.789459	12019	R
42.660995	-73.768543	12206	ST
42.872016	-73.773286	12065	CC
42.864451	-73.785256	12065	ST
42.85259	-73.755784	12065	ST
42.666036	-73.791926	12208	K
42.62736	-73.812194	12054	K
42.980566	-73.766787	12020	ER
42.673299	-73.748817	12204	H
42.647231	-73.840904	12208	ER
42.709208	-73.700324	12180	X
42.854595	-73.774997	12065	ER
42.731909	-73.691075	12180	ST
42.971021	-73.791643	12020	CC
43.048748	-73.85014	12020	R
43.08368	-73.784326	12866	U
43.003565	-73.8499	12020	MF
43.073691	-73.706592	12866	SR
42.730968	-73.690012	12180	M
43.107693	-73.740177	12866	ST
43.083559	-73.785235	12866	P
43.103247	-73.771823	12866	K
42.860227	-73.779899	12065	K
42.606003	-73.71838	12144	K
42.680615	-73.792321	12206	ST
42.825914	-73.962097	12302	K
43.078376	-73.787216	12866	ST
42.706002	-73.659264	12180	K
43.10267	-73.745272	12866	CC
42.807726	-73.99403	12306	ST
43.08123	-73.787278	12866	M
42.869764	-73.930577	12302	ST
42.717755	-73.694865	12180	SR
42.787054	-73.666155	12182	ST
42.842438	-73.941049	12302	U
42.908676	-73.687007	12118	SR
42.743574	-73.667088	12180	ST
42.971809	-73.794036	12020	K
42.959668	-73.791463	12118	WT
43.082066	-73.784582	12866	K
42.822262	-73.95928	12302	K
43.078527	-73.780853	12866	ER
42.863921	-73.768317	12065	SR
42.784837	-73.680285	12188	ER
43.082231	-73.785589	12866	ST
43.070215	-73.794716	12866	ST
42.885067	-74.009417	12302	SR
43.082081	-73.78496	12866	ST
42.656435	-73.777419	12208	V
42.8262	-73.963968	12302	R
43.022608	-73.840022	12020	ST
42.844166	-73.747582	12065	ST
42.864594	-73.79078	12065	R
43.086995	-73.806909	12866	CC
42.682905	-73.789765	12206	SR
43.096892	-73.746793	12866	R
43.080682	-73.766122	12866	CC
42.858785	-73.777288	12065	M
42.721096	-73.690318	12180	ST
42.837775	-73.740933	12065	K
