location_name,top_category,latitude,longitude
Restaurants and Other Eating Places,Crispy Basil Artisan Pizza Latham,42.736907,-73.761583
Personal Care Services,Hair by Kaylena,42.737205,-73.763594
Restaurants and Other Eating Places,Bob & Ron's Fish Fry,42.685038,-73.795296
Clothing Stores,Athleta,42.688427,-73.847912
Health and Personal Care Stores,DiNapoli Opticians,42.684378,-73.841074
Other Miscellaneous Store Retailers,Ferris Coin & Jewelry Co,42.723324,-73.799437
Traveler Accommodation,Homewood Suites by Hilton,42.687259,-73.852967
Other Amusement and Recreation Industries,MGX Fitness,42.691164,-73.868036
Restaurants and Other Eating Places,Lanie's Cafe,42.707591,-73.777188
Other Amusement and Recreation Industries,Spare Time Latham,42.745287,-73.750839
Religious Organizations,St Clare's Church,42.740092,-73.857478
Other Miscellaneous Store Retailers,Petco,42.736471,-73.764436
Personal Care Services,Miami Sun Tanning,42.678405,-73.828255
Restaurants and Other Eating Places,Cusato's Pizzeria,42.735665,-73.702096
Gasoline Stations,Exxon Mobil,42.689647,-73.80064
Personal Care Services,Beauty At Your Service,42.71867,-73.808161
Restaurants and Other Eating Places,Hometowne Pizzeria,42.772709,-73.701099
Restaurants and Other Eating Places,Cusato's Pizzeria,42.782535,-73.949551
 and Musical Instrument Stores, Hobby,Sporting Goods,The Edge Skate Sharpening & Profiling,42.712663,-73.828122
Personal Care Services,Lipstik Beauty Lounge,42.702092,-73.817889
Clothing Stores,Apropos Prom & Bridal,42.690734,-73.866573
Automotive Equipment Rental and Leasing,Enterprise Rent-A-Car,42.792357,-73.916933
Other Amusement and Recreation Industries,Reds Field,42.71635,-73.705341
Other Amusement and Recreation Industries,NexGen Indoor Golf Center,42.770849,-73.82427
 and Musical Instrument Stores, Hobby,Sporting Goods,Play It Again Sports,42.762281,-73.797747
Personal Care Services,Jean Paul Salon,42.727786,-73.761141
Other Miscellaneous Store Retailers,51Vape Schenectady,42.760703,-73.882386
Gasoline Stations,Mobil,42.70382,-73.816496
Personal Care Services,Maestro Barbershop,42.762334,-73.797559
Traveler Accommodation,Quality Inn,42.719299,-73.837097
Personal Care Services,Albany Hypnosis Center,42.744112,-73.837686
Restaurants and Other Eating Places,Gepettos Pizzeria and Catering,42.772436,-73.701242
Automotive Repair and Maintenance,Mavis Discount Tire,42.734151,-73.852524
Other Motor Vehicle Dealers,Ada's Spirit Works,42.755018,-73.874842
Religious Organizations,Heritage Baptist Church Of Latham,42.76649,-73.703212
Electronics and Appliance Stores,Northeast IS,42.73861,-73.820815
Health and Personal Care Stores,ULTA Beauty,42.771836,-73.892613
Restaurants and Other Eating Places,Mario's Restaurant & Pizzeria,42.803256,-73.861905
Traveler Accommodation,tru by Hilton,42.746027,-73.82355
Automobile Dealers,Armory Chrysler Dodge Jeep Ram FIAT of Albany,42.680954,-73.793337
Restaurants and Other Eating Places,Wendy's,42.769312,-73.820049
Restaurants and Other Eating Places,Chang's Garden,42.66204,-73.776743
Automotive Repair and Maintenance,Caliber Collision,42.718875,-73.83293
Restaurants and Other Eating Places,Eden Cafe,42.70754,-73.774811
Personal Care Services,Shear Perfection,42.734267,-73.851381
Other Amusement and Recreation Industries,Fitness Artist,42.734874,-73.762753
Clothing Stores,Peter Harris Clothes,42.762102,-73.796829
Furniture Stores,Metro Mattress,42.712662,-73.815294
Restaurants and Other Eating Places,LongHorn Steakhouse,42.719405,-73.806247
Other Personal Services,Hair Loss Control Clinic,42.770406,-73.756088
Restaurants and Other Eating Places,United Buffet,42.783982,-73.916942
Clothing Stores,UniFirst Uniforms Albany,42.739298,-73.724774
Other Miscellaneous Store Retailers,Monocrete Steps,42.721627,-73.720758
Restaurants and Other Eating Places,Hibachi Express,42.792497,-73.917102
Grocery Stores,Stewart's Shops,42.686926,-73.854341
Restaurants and Other Eating Places,No 1 Chinese Restaurant,42.800112,-73.926733
Other Amusement and Recreation Industries,Tri City Fitness,42.76451,-73.757898
Child Day Care Services,Childhood Friends Inc,42.766599,-73.938889
Personal Care Services,Make Your Mark Tattoo Studio,42.700881,-73.814276
Personal Care Services,NicholasJade Salon,42.740252,-73.858205
Personal Care Services,V Salon,42.676001,-73.822424
Restaurants and Other Eating Places,Red Lobster,42.722448,-73.802483
Health and Personal Care Stores,Langes Pharmacy,42.815992,-73.894213
Restaurants and Other Eating Places,CoreLife Eatery,42.678261,-73.827874
Religious Organizations,Latham Bible Baptist Church,42.735805,-73.753137
Automotive Repair and Maintenance,Ed's Glass,42.787754,-73.941489
Book Stores and News Dealers,Book House of Stuyvesant Plaza,42.684463,-73.839396
Grocery Stores,State Street Grocery,42.790549,-73.915089
Restaurants and Other Eating Places,Lyles Hoagies,42.784453,-73.907945
Restaurants and Other Eating Places,Inferno Pizzeria,42.738202,-73.7279
Personal Care Services,House of Pops Barbershop,42.796047,-73.922222
Restaurants and Other Eating Places,21 Below Thai Rolling Ice Cream,42.770835,-73.824323
Gasoline Stations,Mobil,42.784556,-73.913105
Restaurants and Other Eating Places,Mings,42.776982,-73.900595
Clothing Stores,LIDS,42.689339,-73.849492
Restaurants and Other Eating Places,Sub Stop,42.77007,-73.705324
Restaurants and Other Eating Places,Funny Bone Comedy Club & Restaurant,42.689249,-73.851072
Personal Care Services,Spa Mirbeau,42.689229,-73.849808
Automotive Repair and Maintenance,Kaiser Body Shop,42.756369,-73.808831
Grocery Stores,Price Chopper New England,42.733356,-73.855919
Florists,Surroundings Floral Studio,42.743907,-73.837731
Restaurants and Other Eating Places,Bowled,42.784145,-73.918373
Other Amusement and Recreation Industries,Redwood Lanes,42.71481,-73.828575
Personal Care Services,Beauty Plus Salon,42.687855,-73.84729
Gasoline Stations,Cumberland Farms,42.768893,-73.914849
Bakeries and Tortilla Manufacturing,Bake For You,42.658828,-73.768846
Personal Care Services,WeHair Beauty Bar,42.799961,-73.948101
Restaurants and Other Eating Places,Mild Wally's,42.662293,-73.777075
Amusement Parks and Arcades,All 4 Fun,42.763612,-73.808596
Electronics and Appliance Stores,Pro tech automatic lawn sprinklers,42.685541,-73.783449
Other Personal Services,Camp Bow Wow,42.704323,-73.828302
 and Musical Instrument Stores, Hobby,Sporting Goods,Advantage Sport & Fitness,42.757299,-73.758587
Clothing Stores,Claire's,42.710449,-73.816166
Grocery Stores,Super Mart,42.715549,-73.831005
Personal Care Services,Miles and Styles Barbershop,42.791709,-73.934736
Other Personal Services,Eddie's Aquarium Centre,42.8009,-73.733903
Other Motor Vehicle Dealers,Advanced RV Repair,42.756153,-73.808036
Restaurants and Other Eating Places,Charlie's West Indian Bakery & Restaurant,42.794878,-73.920818
Automobile Dealers,Fuccillo Hyundai,42.765422,-73.886644
Personal Care Services,Venetian Nails Spa,42.735945,-73.764313
Clothing Stores,Bridal Gallery By Yvonne,42.756414,-73.757684
Religious Organizations,Fiqh Mosque Inc,42.733492,-73.70831
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Dollar Tree,42.771116,-73.893966
Automotive Repair and Maintenance,Automedics,42.688207,-73.800795
Restaurants and Other Eating Places,CoreLife Eatery,42.753143,-73.766986
Gasoline Stations,Mobil,42.753566,-73.771388
Automobile Dealers,Armory Jeep Wrangler,42.681037,-73.793864
