category	latitude	longitude
K	42.736907	-73.761583
K	42.685038	-73.795296
ST	42.688427	-73.847912
ST	42.684378	-73.841074
CC	42.665407	-73.789131
ST	42.723324	-73.799437
AS	42.687259	-73.852967
ST	42.80444	-73.904591
ER	42.691164	-73.868036
K	42.707591	-73.778429
CC	42.80243	-73.898655
ER	42.745287	-73.750839
V	42.740092	-73.857478
CC	42.672124	-73.790594
ST	42.736471	-73.764436
K	42.735665	-73.702096
U	42.689647	-73.80064
SR	42.737241	-73.793861
M	42.683469	-73.764843
K	42.772709	-73.701099
CC	42.828674	-73.889675
SR	42.7697	-73.892676
X	42.692061	-73.784862
K	42.782535	-73.949551
ST	42.712663	-73.828122
ST	42.690734	-73.866573
M	42.792357	-73.916933
ER	42.71635	-73.705341
ER	42.770849	-73.82427
ST	42.762281	-73.797747
ST	42.760703	-73.882386
CC	42.751387	-73.759384
U	42.70382	-73.816496
CC	42.7389	-73.841064
AS	42.719299	-73.837097
K	42.772436	-73.701242
SR	42.734151	-73.852524
ST	42.755018	-73.874842
V	42.76649	-73.703212
ST	42.73861	-73.820815
ST	42.771836	-73.892613
K	42.803256	-73.861905
AS	42.746027	-73.82355
SR	42.680954	-73.793337
K	42.769312	-73.820049
K	42.66204	-73.776743
CC	42.693894	-73.771915
R	42.697532	-73.810721
SR	42.718875	-73.83293
K	42.70754	-73.774811
CC	42.788715	-73.913851
ER	42.734874	-73.762753
CC	42.725978	-73.761304
CC	42.750844	-73.763383
CC	42.685187	-73.795489
ST	42.762102	-73.796829
ST	42.712662	-73.815294
K	42.719405	-73.806247
SR	42.770406	-73.756088
K	42.783982	-73.916942
ST	42.739298	-73.724774
ST	42.721627	-73.720758
K	42.792497	-73.917102
G	42.686926	-73.854341
M	42.682974	-73.846982
K	42.800112	-73.926733
R	42.761211	-73.792396
ER	42.76451	-73.757898
R	42.756827	-73.776751
CC	42.75783	-73.776787
R	42.758096	-73.78325
K	42.722448	-73.802483
ST	42.815992	-73.894213
R	42.7317	-73.761479
CC	42.73892	-73.841073
ST	42.773654	-73.929989
K	42.678261	-73.827874
V	42.735805	-73.753137
SR	42.787754	-73.941489
ST	42.684463	-73.839396
CC	42.693128	-73.873291
G	42.790549	-73.915089
K	42.784453	-73.907945
K	42.738202	-73.7279
ST	42.789722	-73.941994
CC	42.716155	-73.785706
M	42.744687	-73.863208
CC	42.775226	-73.701649
K	42.770835	-73.824323
U	42.784556	-73.913105
K	42.776982	-73.900595
CC	42.669732	-73.787496
ST	42.689339	-73.849492
K	42.77007	-73.705324
CC	42.68367	-73.771134
SR	42.791681	-73.9401
K	42.689249	-73.851072
