location_name,top_category,latitude,longitude
Shoe Stores,Shoe Dept Encore,43.102052,-73.736771
Religious Organizations,St John's Lutheran Church Elca,42.660959,-73.768806
Clothing Stores,Boho Chic Boutique,43.002564,-73.851905
Home Health Care Services,Home of the Good Shepherd,42.982937,-73.78891
 and Similar Institutions, Historical Sites,Museums,The Liferaft,42.732409,-73.674152
 and Similar Institutions, Historical Sites,Museums,Saratoga County Forest,43.03382,-73.89671
 and Musical Instrument Stores, Hobby,Sporting Goods,Racquet World,42.899148,-73.792253
Personal Care Services,C & C Unisex Hair Salon,43.102242,-73.739315
Restaurants and Other Eating Places,Famous Lunch,42.728717,-73.688976
Personal Care Services,Envy Hair Salon,42.847004,-73.941386
Home Furnishings Stores,K C Custom Framing,43.124065,-73.766608
Personal Care Services,Needle Wurks,43.077367,-73.789734
Other Amusement and Recreation Industries,Clifton Park Driving Range,42.873662,-73.770945
Restaurants and Other Eating Places,Longfellows,43.061452,-73.728524
 and Liquor Stores, Wine,Beer,Black Mountain Wine & Liquor,42.794935,-74.007996
Grocery Stores,Hannaford Supermarkets,42.628165,-73.810662
Health and Personal Care Stores,Agape Eye Care,42.977751,-73.788428
Health and Personal Care Stores,Albany Eye Associates Optical,42.673288,-73.7488
Clothing Stores,Moxie,43.088087,-73.778526
Restaurants and Other Eating Places,Dunkin',42.738565,-73.673532
Personal Care Services,Svana Beauty Lounge,43.089481,-73.773048
Automotive Repair and Maintenance,Smith R L Sales,42.584271,-73.739093
Gasoline Stations,CITGO,42.885431,-73.926045
Restaurants and Other Eating Places,Kaffee House,43.07699,-73.80321
 and Similar Institutions, Historical Sites,Museums,Crescent Estates Park,42.808798,-73.773042
 and Musical Instrument Stores, Hobby,Sporting Goods,Pacific Industries,42.835982,-73.982808
Child Day Care Services,Malta Child Care Center Malta Commons,42.968587,-73.798084
Restaurants and Other Eating Places,The Daily Grind,42.730668,-73.690019
Restaurants and Other Eating Places,Mark's Grill,42.786511,-73.969655
Other Amusement and Recreation Industries,Mill Creek Golf,43.045743,-73.852205
 and Similar Institutions, Historical Sites,Museums,Patroon Island Bridge,42.643171,-73.747325
Grocery Stores,Fourth Street Market,42.728932,-73.689335
Restaurants and Other Eating Places,Chris's Southern Connection,42.65262,-73.768492
Restaurants and Other Eating Places,Subway,42.665304,-73.790599
Restaurants and Other Eating Places,Mangino's,42.986247,-73.754981
Religious Organizations,Ahmadiyya Muslim Community Centre Albany Chapter,42.857764,-74.026693
Home Health Care Services,Accent Health Care Services,42.783164,-73.669127
Restaurants and Other Eating Places,Wendy's,42.840846,-73.744232
Traveler Accommodation,Courtyard by Marriott,42.690307,-73.820348
Other Personal Services,Hounds On The Hudson,42.653111,-73.7693
Religious Organizations,Redemption Church of Christ of the Apostolic Faith,42.761384,-73.681528
 and Musical Instrument Stores, Hobby,Sporting Goods,GameStop,43.099842,-73.741732
Grocery Stores,Stewart's Shops,42.728725,-73.687822
Grocery Stores,Stewart's Shops,42.645631,-73.739211
Automotive Repair and Maintenance,Gochee's Garage,42.624028,-73.829064
Restaurants and Other Eating Places,Subway,42.634148,-73.746436
Restaurants and Other Eating Places,Mario's Pizza & Pasta,42.983722,-73.786193
Other Miscellaneous Store Retailers,Wonderland Grooming,43.093546,-73.743228
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Yankee One Dollar Store,42.695941,-73.689571
Personal Care Services,Modern Nails,42.90269,-73.687436
Religious Organizations,Union Presbyterian Church,42.81417,-73.924237
Gasoline Stations,Mobil,42.861995,-73.780439
Religious Organizations,Living Hope Christian Church,42.935524,-73.874605
Restaurants and Other Eating Places,Beekman Street Cafe,43.07779,-73.792482
Restaurants and Other Eating Places,China Max,42.808605,-73.989037
Electronics and Appliance Stores,ReQuest Serious Play,42.846062,-73.758702
Florists,Danker Florist,42.674048,-73.783519
Restaurants and Other Eating Places,Fifty South Restaurant & Bar,43.017922,-73.842859
Restaurants and Other Eating Places,The Whistling Kettle,43.002769,-73.849571
Automotive Repair and Maintenance,Kaddo Auto Sales,42.736148,-73.675345
Automotive Repair and Maintenance,Valvoline,42.860028,-73.76626
Furniture Stores,Metro Mattress,42.86001,-73.780184
Health and Personal Care Stores,Brooks Pharmacy,42.705784,-73.659171
Beverage Manufacturing,Druthers Brewing Albany,42.665789,-73.741378
Health and Personal Care Stores,Hughes Opticians Inc,42.622825,-73.834323
Religious Organizations,Franciscan Friars,42.663343,-73.721763
Other Amusement and Recreation Industries,Evolution Strength & Performance,43.09369,-73.743225
Personal Care Services,Eric's Barbershop,42.829677,-73.968243
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Family Dollar Stores,42.755881,-73.682065
Gasoline Stations,Hess Corporation,42.626791,-73.744575
Clothing Stores,The Cheshire Horse of Saratoga,43.048908,-73.842807
Personal Care Services,Troy Nails and Tan,42.738586,-73.676247
Other Miscellaneous Store Retailers,Amazing Intimate Essentials,42.738935,-73.685905
Personal Care Services,BodyBrite,42.628596,-73.813732
Health and Personal Care Stores,CVS,42.664568,-73.789351
Personal Care Services,All In Cuts Barbershop,42.837784,-73.737624
Other Miscellaneous Store Retailers,Smokers Paradise,42.873166,-73.774513
Restaurants and Other Eating Places,Risotto,42.67498,-73.748909
Restaurants and Other Eating Places,Denny's,42.814387,-73.933803
