Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees/students	Number of students/residence	School type
AA	42.7328868	-73.8241702	0	68	
AA	42.7353002	-73.7690936	0	94	
AA	42.7604872	-73.7744118	0	62	
AA	42.69535	-73.735402	0	8	
AA	42.6822054	-73.7599097	0	105	
AA	42.7434001	-73.8136692	0	250	
AA	42.7882041	-73.7402827	0	55	
AA	42.7334946	-73.7327815	0	100	
AA	42.7319457	-73.7335279	0	100	
AA	42.7336842	-73.7319487	0	100	
AA	42.7315893	-73.7308227	0	50	
AA	42.7326174	-73.7316402	0	100	
H	42.748011	-73.761854	0	0	
H	42.7268066	-73.7611569	0	0	
H	42.7579817	-73.7772871	0	0	
H	42.7168416	-73.8109461	0	0	
H	42.7743015	-73.751266	0	0	
H	42.7213134	-73.8378245	0	0	
F	42.7088017	-73.8084607	0	284	high
F	42.7546586	-73.8646	0	284	daycare,primary
F	42.7372348	-73.8230382	0	284	daycare,high
F	42.7488192	-73.8578292	0	284	middle
F	42.7201852	-73.8236051	0	284	daycare,primary
F	42.7753194	-73.7565683	0	284	daycare,primary
F	42.7643512	-73.7784847	0	284	daycare,primary
F	42.7402358	-73.7498367	0	284	daycare,primary
F	42.7361224	-73.7510034	0	284	middle
F	42.734968	-73.7474875	0	284	high
F	42.7536583	-73.7418678	0	284	daycare, primary
F	42.731536	-73.8383704	0	284	daycare, primary
F	42.7057773	-73.7565147	0	284	daycare, primary
F	42.7097549	-73.7826626	0	284	daycare,primary
F	42.706156	-73.8001928	0	284	middle
F	42.7052045	-73.8131003	0	284	daycare,primary
F	42.6861047	-73.7327973	0	284	daycare,middle
F	42.7211707	-73.77561	0	284	daycare,primary
F	42.7727944	-73.8413476	0	284	daycare,primary
F	42.737696	-73.7105393	0	284	daycare,primary
F	42.7308647	-73.7160455	0	284	middle,high
F	42.7188319	-73.7510482	0	284	college
F	42.71973974	-73.75411041	0	284	college
F	42.71658479	-73.74998999	0	284	college
F	42.7188424	-73.751119	0	284	college
F	42.719513	-73.7518162	0	284	college
F	42.7206993	-73.7527931	0	284	college
F	42.7177444	-73.7534054	0	284	college
F	42.7193361	-73.7528409	0	284	college
F	42.7178976	-73.7488396	0	284	college
F	42.7175853	-73.7525112	0	284	college
F	42.7198357	-73.750989	0	284	college
F	42.72095381	-73.75173168	0	284	college
F	42.72231651	-73.75147652	0	284	college
F	42.72203178	-73.75041064	0	284	college
F	42.72295185	-73.75022419	0	284	college
F	42.72145124	-73.74799227	0	284	college
F	42.72056811	-73.74645092	0	284	college
F	42.72189083	-73.74749647	0	284	college
F	42.71679582	-73.74695117	0	284	college
F	42.71677232	-73.74952204	0	284	college
F	42.71630415	-73.7498787	0	284	college
F	42.71696063	-73.75074362	0	284	college
F	42.71689916	-73.75161451	0	284	college
F	42.71680813	-73.75234657	0	284	college
F	42.71702478	-73.75354209	0	284	college
F	42.7174011	-73.75412713	0	284	college
F	42.71765055	-73.75159401	0	284	college
F	42.71773552	-73.75049108	0	284	college
F	42.72030958	-73.75476024	0	284	college
F	42.72396104	-73.75009553	0	284	college
F	42.71667242	-73.75729198	0	284	college
F	42.6982468	-73.8096422	0	284	college
F	42.7618071	-73.8810085	0	284	daycare,high
F	42.6958325	-73.7549691	0	284	daycare,high
F	42.735755	-73.752827	0	284	daycare,high
F	42.7326541	-73.8205669	0	284	middle,high
F	42.7577786	-73.7529199	0	284	daycare,middle
F	42.705472	-73.8090897	0	284	daycare,middle
F	42.7366851	-73.8412749	0	284	daycare
F	42.7225227	-73.8258998	0	284	daycare
F	42.7266938	-73.8343484	0	284	daycare
F	42.7248907	-73.8241188	0	284	daycare
F	42.7445855	-73.8380542	0	284	daycare
F	42.6891462	-73.7770146	0	284	daycare
F	42.7347722	-73.8264164	0	284	daycare
F	42.7144413	-73.826573	0	284	daycare
F	42.7145799	-73.8032147	0	284	daycare
F	42.7431893	-73.7902963	0	284	daycare
F	42.6832832	-73.7658609	0	284	daycare
F	42.7610154	-73.8160423	0	284	daycare
F	42.7614917	-73.7508147	0	284	daycare
F	42.733146	-73.8449327	0	284	daycare
