Title	x	y
A -73.781424 40.988181
A -73.780943 40.987855
A -73.781636 40.987825
A -73.782129 40.987738
A -73.782634 40.98771
A -73.782936 40.987663
A -73.783389 40.98765
A -73.783612 40.987596
A -73.784015 40.987556
A -73.784316 40.987524
A -73.78475 40.9875
A -73.785083 40.987415
A -73.785432 40.98692
A -73.785503 40.986631
A -73.785612 40.986277
A -73.785745 40.986041
A -73.785963 40.98587
A -73.786291 40.985711
A -73.786604 40.985499
A -73.782075 40.987474
A -73.78241 40.987208
A -73.782793 40.987267
A -73.782945 40.986979
A -73.782938 40.986757
A -73.782525 40.986662
A -73.782451 40.986384
A -73.782776 40.986173
A -73.7831 40.986295
A -73.783276 40.986045
A -73.783394 40.985784
A -73.783566 40.985471
A -73.783586 40.985261
A -73.783697 40.985012
A -73.783783 40.984684
A -73.783986 40.984489
A -73.783421 40.987167
A -73.783464 40.98695
A -73.783538 40.986674
A -73.783641 40.986355
A -73.783855 40.986102
A -73.783886 40.985867
A -73.784014 40.985613
A -73.783929 40.987162
A -73.784008 40.986863
A -73.784014 40.986637
A -73.784289 40.986033
A -73.784393 40.985714
A -73.784564 40.987079
A -73.784552 40.98678
A -73.784564 40.986531
A -73.784588 40.986199
A -73.784723 40.985834
A -73.785114 40.98595
A -73.785065 40.98618
A -73.784973 40.986434
A -73.784943 40.986724
C -73.784972 40.986901
A -73.785613 40.985623
A -73.785248 40.985531
A -73.784889 40.985423
A -73.784603 40.985343
A -73.784207 40.985168
A -73.78592 40.985327
A -73.785602 40.985275
A -73.785275 40.985195
A -73.784862 40.98512
A -73.784608 40.985028
A -73.784254 40.984928
A -73.780993 40.987802
A -73.781605 40.987794
A -73.781568 40.987574
A -73.78169 40.987297
A -73.781803 40.987062
A -73.781888 40.986773
A -73.781977 40.98633
A -73.782155 40.986089
A -73.782244 40.985833
A -73.782484 40.985619
A -73.782564 40.985343
A -73.782831 40.985075
A -73.782795 40.984786
A -73.782937 40.984478
A -73.779638 40.987935
A -73.779167 40.988049
A -73.77874 40.988042
A -73.778278 40.987975
A -73.778002 40.987767
D -73.777875 40.986996
D -73.777854 40.986552
D -73.77808 40.985957
D -73.77749 40.985973
A -73.781009 40.98723
A -73.781159 40.986907
A -73.780601 40.986907
A -73.781417 40.986307
A -73.780655 40.986437
A -73.781567 40.98587
A -73.780859 40.986008
A -73.780999 40.985692
A -73.781256 40.985546
A -73.781782 40.985506
A -73.781353 40.985311
A -73.781868 40.985263
A -73.781589 40.984979
A -73.782061 40.984874
A -73.781739 40.984566
A -73.782179 40.98442
A -73.780137 40.987478
A -73.780035 40.98717
A -73.779951 40.986798
A -73.780053 40.986314
A -73.78023 40.985922
A -73.780397 40.985543
A -73.779543 40.987513
A -73.779496 40.987198
A -73.779496 40.986861
A -73.779505 40.986581
A -73.779645 40.986146
A -73.779756 40.985852
A -73.779886 40.985606
A -73.779032 40.98759
A -73.778948 40.987261
A -73.77892 40.986994
A -73.77893 40.986637
A -73.779013 40.986391
A -73.779013 40.986104
A -73.779171 40.985831
A -73.779255 40.98555
A -73.778558 40.987597
A -73.77841 40.987338
A -73.778363 40.987106
A -73.778437 40.986861
A -73.7784 40.986623
