Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees/students	Number of students/residence	School type
F	40.948413	-73.780721	174	284	high
F	40.910044	-73.798555	115	284	daycare,primary
F	40.918268	-73.798032	90	284	daycare,high
F	40.973972	-73.785149	115	284	middle
F	40.9740323	-73.7850245	0	284	daycare,primary
F	40.932665	-73.773371	90	284	daycare,primary
F	40.92608596	-73.78475332	0	284	daycare,primary
F	40.92478927	-73.78849896	0	284	daycare,primary
F	40.92443988	-73.78774295	0	284	middle
F	40.92560049	-73.78704919	0	284	high
F	40.9235602	-73.78898476	0	284	daycare, primary
F	40.92734293	-73.78739835	0	284	daycare, primary
F	40.92673463	-73.78646337	0	284	daycare, primary
F	40.92546034	-73.7873484	0	284	daycare,primary
F	40.92636412	-73.78718112	0	284	middle
F	40.92565836	-73.78726568	0	284	daycare,primary
F	40.92383629	-73.78893488	0	284	daycare,middle
F	40.9269651	-73.78333857	0	284	daycare,primary
F	40.92345126	-73.78873922	0	284	daycare,primary
F	40.92537571	-73.78620562	0	284	daycare,primary
F	40.92802395	-73.78515781	0	284	middle,high
F	40.9256366	-73.78602278	0	284	college
F	40.92706301	-73.78884788	0	284	college
F	40.92577988	-73.7857444	0	284	college
F	40.92594726	-73.78642099	0	284	college
F	40.92815221	-73.7850217	0	284	college
F	40.92659298	-73.78492807	0	284	college
F	40.92892157	-73.78580778	0	284	college
F	40.92470545	-73.78864824	0	284	college
F	40.92470545	-73.78864824	0	284	college
F	40.92413109	-73.79122556	0	284	college
F	40.92861416	-73.78699098	0	284	college
F	40.92741724	-73.78786736	0	284	college
F	40.92644725	-73.78587112	0	284	college
F	40.92524474	-73.787356	0	284	college
F	40.92735505	-73.78757883	0	284	college
F	40.92580906	-73.78568685	0	284	college
F	40.92697239	-73.78327432	0	284	college
F	40.92707445	-73.78943403	0	284	college
F	40.92905351	-73.78274942	0	284	college
F	40.92642441	-73.7847575	0	284	college
F	40.92713502	-73.784658	0	284	college
F	40.92746635	-73.78861482	0	284	college
F	40.92480724	-73.78776444	0	284	college
F	40.92681708	-73.7866613	0	284	college
F	40.92426544	-73.78747382	0	284	college
F	40.92425753	-73.78798574	0	284	college
F	40.9252677	-73.7881708	0	284	college
F	40.92842476	-73.78365627	0	284	college
F	40.965715	-73.787844	70	284	college
F	40.963727	-73.793215	140	284	college
F	40.902364	-73.778153	140	284	college
F	40.897289	-73.790294	90	284	college
F	40.91157927	-73.77671101	0	284	daycare,high
F	40.91093293	-73.77816003	0	284	daycare,high
F	40.91066437	-73.77849331	0	284	daycare,high
F	40.91028658	-73.77877976	0	284	middle,high
F	40.90986029	-73.77973065	0	284	daycare,middle
F	40.90944461	-73.77978726	0	284	daycare,middle
F	40.91199543	-73.7763723	0	284	daycare
F	40.91205299	-73.7759104	0	284	daycare
F	40.9121197	-73.77594361	0	284	daycare
F	40.91059051	-73.77828956	0	284	daycare
F	40.91054281	-73.77863818	0	284	daycare
F	40.90984633	-73.77987702	0	284	daycare
F	40.91141488	-73.7763288	0	284	daycare
F	40.929742	-73.794612	340	284	daycare
F	40.924213	-73.791494	70	284	daycare
F	40.894181	-73.789759	55	284	daycare
F	40.91684	-73.768381	90	284	daycare
F	40.906909	-73.784088	80	284	daycare
F	40.918466	-73.79772	55	284	daycare
F	40.9799907	-73.726897	0	284	daycare
H	40.912912	-73.787528	2206	202	
AA	40.914591	-73.786576	80	100	
AA	40.916863	-73.788682	120	100	
AA	40.8966512	-73.7812297	0	135	
AA	40.894725	-73.781787	130	90	
AA	40.8902447	-73.7894444	0	100	
AA	40.8982223	-73.7808515	0	10	
AA	40.8975203	-73.7818416	0	25	
AA	40.909571	-73.792891	105	102	
AA	40.9135658	-73.7779381	0	150	
AA	40.9096373	-73.7809086	0	100	
AA	40.9210297	-73.8159926	0	120	
AA	40.9143791	-73.7887004	0	125	
AA	40.929115	-73.788614	60	40	
