occupation	latitude	longitude	zipcode
Ocean_Blue_Restaurant_&_Oyster_Bar	B	43.101767	-75.231625
Freeman's_Barber_Shop	B	43.103963	-75.231088
Europa_Restaurant	B	43.095338	-75.215458
H&R_Block	A	43.091521	-75.222715
The_Auburn	B	43.085787	-75.26049
Laura's_Cafe	B	43.089023	-75.222661
Slice_Pizzeria	B	43.086374	-75.261325
Jo_Mar_Beauty_Salon	B	43.087143	-75.219192
Blue_Moon_Emporium	C	43.104262	-75.239773
Inkorporated_Tattoo_Studio	B	43.102151	-75.225497
Fastrac	B	43.1159	-75.210372
Baker_Greenhouses	C	43.113819	-75.182743
Big_O_Bakery	E	43.097578	-75.214903
Kajtezovic_Agency	C	43.089754	-75.212576
Faxton_St_Luke's_Healtchcare	B	43.09675	-75.276135
Shine	B	43.08425	-75.265315
Markwood_Thor	A	43.083125	-75.267804
St_Francis_Desales_Catholic_Church	A	43.095798	-75.238041
AMF	B	43.08892	-75.257804
Ulahannan_Mathew_MD	A	43.096734	-75.276133
Love_Gerry_A_MD	A	43.083162	-75.267791
Desserts_Beyond_the_Ordinary	E	43.099584	-75.233084
Century_Nails	B	43.089782	-75.21256
Lily's_Party_Store	C	43.096439	-75.241798
Moore's_Whol_Tire_Sales	C	43.098069	-75.221468
Clips	B	43.087292	-75.258949
Stewart's_Shops	C	43.081793	-75.205188
Farmers_Insurance_Group	C	43.081608	-75.271993
Enterprise_Rent-A-Car	C	43.104601	-75.236203
The_Patio_Drive_In	B	43.109115	-75.251014
Pizza_Classic	B	43.10191	-75.230732
St_Elizabeth_Medical_Group	A	43.086625	-75.262912
Utica_Fire_Department_Station_2_Utica_Fire_Department_Ambulance_Service	A	43.099167	-75.221544
Utica_Coffee_Roasting	B	43.103451	-75.227616
Patel_Ashok_R_MD	A	43.083157	-75.267793
Excellus_Blue_Cross_Blue_Shield	C	43.0931	-75.288589
Cricket_Wireless	C	43.092027	-75.222252
First_Nursery_School_Of_Utica	A	43.091393	-75.250384
John_F_Kennedy_Middle_School	A	43.118627	-75.196932
The_Rut	B	43.104683	-75.269517
Tonys_Pizzeria	B	43.109852	-75.262044
Express_Employment_Professionals	B	43.101851	-75.231547
Warfel_Mark_MD	A	43.103504	-75.227623
T_Milo_Construction	C	43.224064	-75.130004
Sharon's	B	43.088885	-75.261903
New_Hartford_Scanner	A	43.096743	-75.276132
Strosberg_Wm	C	43.098081	-75.216337
Greater_Grace_Church_Of_Utica	A	43.106103	-75.265186
Cafe_Hummus	B	43.088877	-75.222122
D_&_D_Auto_Sales	C	43.112382	-75.26213
2m_Auto_Repair	D	43.092667	-75.224509
Ancora	B	43.098941	-75.235529
Rosso_Verde	B	43.088644	-75.223552
M_&_M_Cleaners	E	43.07449	-75.266961
Brownstein_Lance_MD	A	43.045177	-75.273131
Mohawk_Valley_Community_College	A	43.07674	-75.216927
Serendipity_Hair_Salon_&_Boutique	B	43.090743	-75.215696
Todd_Hunter's_Eternal_Images	B	43.103976	-75.242741
Advance_Auto_Parts	C	43.092354	-75.248096
Payne's_Temple_Church_of_God_In_Christ	A	43.097797	-75.228352
BMP_Autoworx	D	43.107567	-75.24376
Minit_Car_Wash	D	43.087216	-75.254719
BJ's_Optical	A	43.126644	-75.222557
All_Saints_Episcopal_Church	A	43.089295	-75.248459
Come_into_Jamaican_Restaurants	B	43.093669	-75.23651
Dunkin'	B	43.107084	-75.244384
The_Beer_Hub	B	43.076782	-75.280305
Orkin	D	43.098028	-75.252664
Senator_James_H_Donovan_Middle_School	A	43.101448	-75.261956
Advanced_Physical_Medicine_and_Rehab	A	43.092965	-75.249001
Frank_J_Robak_Park	B	43.108802	-75.270344
Lincoln_Playground	B	43.094666	-75.253723
Wanna_Play_Cafe	B	43.115758	-75.21005
Kernan_Elementary_School	A	43.10367	-75.252012
Harbor_Point_Minerals	C	43.10665	-75.215657
Aspen_Dental	A	43.112406	-75.21465
Mello's_Subs	B	43.100527	-75.233468
Ahn_Douglas	A	43.093713	-75.286026
Wendy's	B	43.110586	-75.218393
Pharmacy_Solutions	A	43.088702	-75.186094
Hair_by_Lisa_calhoun	B	43.10266	-75.23023
T_P_Brake_&_Muffler	C	43.108673	-75.249337
Maugeri's_Auto_Body	D	43.104936	-75.237744
O'Connor_Park	B	43.08459	-75.228948
Affordable_Furniture	C	43.099246	-75.247192
S&E_Cabin_Log_Home_Services	D	43.110619	-75.164193
Red_Roof_Inn	B	43.11378	-75.216939
Peters_Glass	C	43.096768	-75.221924
Aquavino_Restaurant_&_Catering	B	43.111267	-75.214996
J's_Auto	D	43.108588	-75.250378
Addison_Miller_Park	B	43.094695	-75.26228
Tiny's_Grill	B	43.099995	-75.240431
