occupation	latitude	longitude	zipcode
Whitcomb_Auto_Sales_&_Service	C	43.026392	-74.883242	13365

Deer_Run_Golf_Facility	B	43.091739	-75.397505	13323

Lott_Ralph_W_OD	A	43.093093	-75.279197	13413

Spirit_&_Sanzone_Distributors_Co	C	43.136235	-75.26724	13403

Tommy_Nails	B	43.079278	-75.644507	13421

Plato's_Closet	C	43.082609	-75.323581	13413

Olivia's_Happy_Tails	C	43.026351	-74.98714	13350

Eadline_Stephen_D_MD	A	43.0931	-75.279178	13413

Saint_Mary's_Roman_Catholic_Church	A	43.107567	-75.285009	13417

Stewart's_Shops	C	43.037136	-75.069257	13340

Original_Herkimer_County_Cheese	C	42.998822	-75.05035	13357

Brian_Alessi_MD	A	43.245997	-75.453793	13440

Marcy_Tavern	B	43.166798	-75.291686	13403

Zion_Episcopal_Church	A	43.213006	-75.457879	13440

Rome_Access_Site	A	43.213888	-75.459573	13440

Play_It_Again_Sports	C	43.094833	-75.304913	13413

Luxury_Nails	B	43.026179	-74.985145	13350

Edible_Arrangements	C	43.092187	-75.315728	13413

Rome_Podiatry_Group	A	43.218169	-75.459372	13440

Savicki_Capital	A	43.071146	-75.286439	13413

Ruth_And_Elmer_Wellin_Museum_Of_Art	B	43.05114	-75.409552	13323

Kdk_Sports	C	43.231261	-75.497157	13440

Budget_Mini_Storage	C	43.208245	-75.462467	13440

Giustra_Lauren_MD	A	43.232041	-75.440614	13440

Catholic_Charities_of_Herkimer_County	B	43.014156	-75.038898	13357

Rite_Aid	A	43.097044	-75.302518	13413

Crimmins_Automotive_Sales	C	43.030655	-75.062097	13340

Subway	B	43.082361	-75.315535	13413

H&R_Block	A	43.231278	-75.437321	13440

Tony's_Pizzeria	B	43.021302	-74.991916	13350

Pinti_Field	B	43.208912	-75.442834	13440

The_Frigault_Agency	C	43.071828	-75.327641	13413

Soul_Bowl	B	43.096045	-75.305118	13413

Brass_Tack_Restaurant	B	43.028399	-75.059531	13340

Marks_Lawrence_B_PC	A	43.073037	-75.286693	13413

Rite_Aid	A	43.212855	-75.466198	13440

Humane_Society_of_Rome	C	43.186567	-75.475823	13440

Swan_Pool	C	43.012461	-75.030833	13357

Byrne_Dairy	C	43.079268	-75.373585	13323

LabCorp	A	43.077508	-75.651637	13421

Fall_Hill_Bead_and_Gem	C	43.042799	-74.861081	13365

Oneida_Health_Care_Center	A	43.076491	-75.653559	13421

Allen_Park	B	43.082104	-75.647461	13421

Adirondack_Vapor	C	43.074233	-75.287769	13413

Sunoco	C	43.09368	-75.276219	13413

Pierz_Joseph_J_MD	A	43.088763	-75.643146	13421

Billy_Beez	B	43.083122	-75.315209	13413

Skate_A_While	B	43.209515	-75.463431	13440

Niki_Marie's_Salon	B	43.01539	-75.036809	13357

Barnes_and_Noble	C	43.0952	-75.306218	13413

Mohawk_Valley_Urology_PC	A	43.23115	-75.443408	13440

Dorfman_Ava_Senior_Citizens_Civic_Center	A	43.222733	-75.443852	13440

Barringer_Road_Elementary_School	A	43.008873	-75.057201	13357

Stewart's_Shop_377	C	43.303007	-75.472439	13440

Patrick_Chester_L_Jr_MD	A	43.216946	-75.456815	13440

CVS	A	43.08378	-75.31599	13413

St_Francis_De_Sales_Regional	A	43.025769	-74.991855	13350

Subway	B	43.214282	-75.451223	13440

Sunoco	C	43.020417	-74.991371	13350

Allstate_Insurance	C	43.220132	-75.448043	13440

Anken_Mark_C_Dr_Chiropractor	A	43.242838	-75.455555	13440

VarilityX3	B	43.059398	-75.424435	13323

M&T_Bank	C	43.03818	-75.070151	13340

Junior_Junction_Inc_At_St_Luke's_Memorial_Hospital_Center	A	43.094755	-75.277434	13413

Glenwood_Plaza	C	43.076403	-75.643372	13421

America's_Best_Contacts_&_Eyeglasses	A	43.093071	-75.309447	13413

Mvcaa_Inc_Sauquoit_Head_Start	A	42.989597	-75.258159	13456

Arby's	B	43.026887	-74.981497	13350

Weight_Watchers	B	43.029811	-75.061416	13340

Oneida_Savings_Bank	C	43.094046	-75.651603	13421

NAPA_Auto_Parts	C	43.217197	-75.474813	13440

First_United_Presbyterian_Church	A	43.045105	-74.858799	13365

Appearance's_Salon	B	43.239828	-75.437348	13440

Carney's_Corners	B	43.028586	-74.986542	13350

Utica_Mutual_Insurance	C	43.076986	-75.304139	13413

Peter's_Cornucopia	A	43.077219	-75.295676	13413

Express	C	43.082657	-75.316235	13413

Honey_Brook_Hobbies	C	43.013846	-75.035778	13357

Oneida_Senior_High_School	A	43.080539	-75.654411	13421

Slocum_Dickson_Medical_Group_PC	A	43.093089	-75.279202	13413

Kings_Buffet	B	43.225004	-75.483869	13440

Delta_Lake_Bible_Conference_Center	B	43.294555	-75.461074	13440

Mobil	C	43.017065	-74.803452	13365

Burger_King	B	43.024817	-74.986407	13350

Arby's	B	43.079084	-75.648315	13421

Sorrento's_Pizzeria_&_Restaurant	B	43.017314	-75.033646	13357

Finish_Line_Automotive	C	43.204665	-75.456948	13440

New_York_Mills_Fire_Department_Rescue	A	43.103595	-75.292331	13417

NextGen_Car_Care_Centers	D	43.079004	-75.372231	13323

Medical_Speciality_Center	A	43.044293	-74.848875	13365

Rose_Petals_Florist	C	43.042612	-74.857945	13365

Utica_Coffee_Of_Clinton	B	43.048322	-75.379111	13323

Hampton	B	43.091424	-75.329325	13323

Rome_Pre_Owned_Auto_Sales	C	43.21856	-75.433744	13440

CosmoProf	C	43.089899	-75.311773	13413

Lyndon_H_Strough_Middle_School	A	43.22885	-75.463028	13440

Vince's_U_Pull_It_Auto_Parts_&_Recycling_Center	C	43.177188	-75.322471	13403

Ascend_Resort_Collection	B	43.094024	-75.28453	13413

Robert_A_Dicks_Jr	C	43.097264	-75.296912	13417

Franklyn'S_Field	B	43.224017	-75.445975	13440

Larkin_Richard_S_Dr	A	43.218193	-75.45941	13440

Mount_Hope_Reservoir_Park	B	43.060244	-75.65119	13421

Briggs_Bucciero_and_Smith_Agency	C	43.004789	-75.256867	13456

NBT_Bank	C	43.04986	-75.378768	13323

Zumiez	C	43.082982	-75.315242	13413

The_Fireside_Sunny's_Kitchen	B	43.07805	-75.665173	13421

Associated_Medical_Professionals_Of_Ny	A	43.231315	-75.443285	13440

AT&T	C	43.095585	-75.309603	13413

Suburban_Propane	A	43.131823	-75.253462	13403

Tony's	B	43.082689	-75.323185	13413

Blueberry_Hill_Farms_&_Nursery	D	43.022626	-75.430756	13323

Mian_Ahmad_S_MD	A	43.090544	-75.279884	13413

Praxair	C	43.13519	-75.263238	13403

Dunkin'	B	43.097986	-75.301347	13417

Dunkin'	B	43.224416	-75.486319	13440

Indian_Castle_Travel_Plaza	C	43.043523	-74.859659	13365

Oneida_Castle_Village_Park	B	43.080102	-75.63573	13421

United_States_Postal_Service_(USPS)	C	43.13994	-75.276048	13403

Alterations_at_Barb's_&_Custom_Sewing	C	42.996471	-75.09684	13340

Jamrock's_Island_Breeze	B	43.023654	-74.98851	13350

Applebee's	B	43.233302	-75.436785	13440

First_Niagara_Bank	C	43.055249	-75.277491	13413

Jo-Ann_Fabric_and_Craft_Stores	C	43.0767	-75.294474	13413

Adirondack_Veterinary_Service	A	43.247981	-75.523759	13440

Village_Tennis_Courts	B	43.023447	-74.996648	13357

Lutheran_Care	A	43.056289	-75.364327	13323

Villas_of_Sherman_Brook	B	43.03874	-75.359206	13323

Cliff's_Local_Market	C	43.005644	-75.25582	13456

Gigliotti's_Utica_Driving_School	C	43.027279	-74.980173	13350

Oneida_Pediatrics_Group_PC	A	43.088206	-75.646996	13421

Tractor_Supply_Co.	C	43.225131	-75.488193	13440

Trinity_Episcopal_Church	A	43.214464	-75.459022	13440

Walgreens	A	43.097787	-75.303493	13413

Rome_Medical_Group	A	43.234351	-75.43793	13440

Quest_Diagnostics	A	43.23084	-75.437629	13440

Presbyterian_Homes_&_Service	B	43.073655	-75.341734	13413

Oneida_Floral_&_Gifts	C	43.09425	-75.651743	13421

NAPA_Auto_Parts	C	43.079142	-75.644547	13421

Kirk_Automotive	C	43.210631	-75.465194	13440

