latitude	longitude	zipcode	category
43.026392	-74.883242	13365	SR
43.091739	-75.397505	13323	ER
43.093093	-75.279197	13413	CC
43.136235	-75.26724	13403	ST
43.082609	-75.323581	13413	ST
43.026351	-74.98714	13350	ST
43.0931	-75.279178	13413	CC
43.107567	-75.285009	13417	V
43.037136	-75.069257	13340	G
42.998822	-75.05035	13357	ST
43.245997	-75.453793	13440	CC
43.166798	-75.291686	13403	K
43.213006	-75.457879	13440	V
43.094833	-75.304913	13413	ST
43.092187	-75.315728	13413	ST
43.218169	-75.459372	13440	CC
43.071146	-75.286439	13413	M
43.05114	-75.409552	13323	ER
43.231261	-75.497157	13440	ST
43.208245	-75.462467	13440	ST
43.232041	-75.440614	13440	CC
43.014156	-75.038898	13357	SR
43.097044	-75.302518	13413	ST
43.030655	-75.062097	13340	ST
43.082361	-75.315535	13413	K
43.231278	-75.437321	13440	SR
43.021302	-74.991916	13350	K
43.208912	-75.442834	13440	ER
43.071828	-75.327641	13413	R
43.096045	-75.305118	13413	K
43.028399	-75.059531	13340	K
43.073037	-75.286693	13413	CC
43.212855	-75.466198	13440	ST
43.186567	-75.475823	13440	ST
43.012461	-75.030833	13357	WT
43.079268	-75.373585	13323	ST
43.042799	-74.861081	13365	ST
43.076491	-75.653559	13421	CC
43.082104	-75.647461	13421	ER
43.074233	-75.287769	13413	ST
43.09368	-75.276219	13413	U
43.088763	-75.643146	13421	CC
43.083122	-75.315209	13413	ER
43.209515	-75.463431	13440	ER
43.0952	-75.306218	13413	ST
43.23115	-75.443408	13440	CC
43.222733	-75.443852	13440	ER
43.303007	-75.472439	13440	U
43.216946	-75.456815	13440	CC
43.08378	-75.31599	13413	ST
43.214282	-75.451223	13440	K
43.020417	-74.991371	13350	U
43.220132	-75.448043	13440	R
43.242838	-75.455555	13440	CC
43.03818	-75.070151	13340	R
43.076403	-75.643372	13421	M
43.093071	-75.309447	13413	CC
43.026887	-74.981497	13350	K
43.094046	-75.651603	13421	R
43.217197	-75.474813	13440	ST
43.045105	-74.858799	13365	V
43.028586	-74.986542	13350	K
43.076986	-75.304139	13413	R
43.077219	-75.295676	13413	ST
43.082657	-75.316235	13413	ST
43.013846	-75.035778	13357	SR
43.093089	-75.279202	13413	CC
43.225004	-75.483869	13440	K
43.294555	-75.461074	13440	ER
43.017065	-74.803452	13365	U
43.024817	-74.986407	13350	K
43.079084	-75.648315	13421	K
43.017314	-75.033646	13357	K
43.204665	-75.456948	13440	ST
