latitude	longitude	zipcode	category
43.038833	-75.086685	13340	U
43.090202	-75.316717	13413	ST
43.289278	-75.418601	13440	ER
43.127733	-74.975608	13350	AS
43.076989	-75.304315	13413	R
43.078199	-75.69198	13421	ST
43.162703	-75.311158	13403	X
43.022895	-74.992599	13350	ST
43.022381	-74.982215	13350	CC
43.214385	-75.465683	13440	K
43.041314	-74.858357	13365	ST
43.028806	-74.988072	13350	WT
43.077018	-75.295643	13413	ST
43.231261	-75.497157	13440	ST
43.015214	-75.035221	13357	ST
43.090786	-75.628411	13421	V
43.022293	-74.994606	13350	K
43.131139	-75.249355	13403	ER
43.048013	-75.378332	13323	SR
43.232344	-75.439028	13440	SR
43.001332	-75.315482	13456	X
43.002444	-75.314755	13456	SR
43.017314	-75.033646	13357	K
43.204665	-75.456948	13440	ST
43.10351	-75.292407	13417	X
43.079004	-75.372231	13323	SR
43.107535	-75.285031	13417	V
43.03714	-75.069248	13340	G
42.998822	-75.05035	13357	ST
43.245997	-75.453793	13440	CC
43.093091	-75.309538	13413	CC
43.218169	-75.459372	13440	CC
43.213799	-75.454782	13440	ST
43.071146	-75.286439	13413	M
43.092158	-75.659319	13421	ST
43.213885	-75.459601	13440	ER
43.081643	-75.295711	13413	SR
43.048817	-74.859762	13365	AS
43.220365	-75.425257	13440	K
43.072259	-75.289167	13413	CC
43.016641	-75.037881	13357	K
43.046289	-74.855663	13365	CC
43.219459	-75.44728	13440	R
43.039568	-75.06739	13340	M
43.214588	-75.461509	13440	CC
43.102483	-75.295533	13417	K
43.020332	-75.080447	13340	SR
43.074239	-75.287616	13413	ST
43.026487	-74.986341	13350	SR
43.027241	-74.914169	13365	ST
43.082361	-75.315535	13413	K
43.13594	-75.278538	13403	ST
43.03978	-75.622229	13421	G
43.023945	-74.975882	13350	CC
43.228548	-75.491063	13440	R
43.030668	-75.062132	13340	SR
43.231278	-75.437321	13440	SR
43.074258	-75.288387	13413	CC
43.207177	-75.461009	13440	SR
43.075573	-75.690892	13421	ST
43.076016	-75.702881	13421	CC
43.038872	-74.857778	13365	V
43.074907	-75.289072	13413	R
43.026351	-74.98714	13350	ST
43.100233	-75.293547	13417	SR
43.034298	-74.960722	13350	SR
43.02275	-74.98247	13350	K
43.232463	-75.436644	13440	SR
43.212653	-75.460743	13440	K
43.078538	-75.646343	13421	G
43.106195	-75.293732	13417	G
43.082134	-75.316402	13413	ST
43.016176	-75.035897	13357	R
43.214409	-75.459946	13440	ST
43.212545	-75.461588	13440	ST
43.199489	-75.449075	13440	K
43.090978	-75.661674	13421	K
43.230281	-75.440105	13440	R
43.091013	-75.311718	13413	CC
43.210731	-75.465294	13440	ST
43.112244	-74.878892	13365	M
43.077853	-75.38472	13323	SR
43.172994	-75.320815	13403	SR
43.09594	-75.305236	13413	K
43.082612	-75.323552	13413	K
43.054692	-75.271805	13413	MF
43.030279	-74.982854	13350	R
43.091385	-75.329346	13323	AS
43.21856	-75.433744	13440	SR
43.040428	-74.858715	13365	K
43.096716	-75.623466	13421	G
43.218978	-75.448348	13440	P
