occupation	latitude	longitude	zipcode
Citizens_Bank	C	43.107195	-75.220554
Coldwell_Banker_Faith_Properties	C	43.082505	-75.270202
Cell_Bionics_Institute	A	43.090455	-75.282737
Saint_Elizabeth_College_Of_Nursing	A	43.082648	-75.267819
Bei_Jing_House	B	43.093335	-75.248672
Red_Roof_Inn	B	43.11378	-75.216939
United_States_Postal_Service_(USPS)	C	43.102183	-75.231188
SherDoHair	B	43.081424	-75.27226
Southern_Tier_Dermatology_&_Aesthetics	A	43.091728	-75.288318
North_Utica_Senior_Citizens_Recreation_Center_Inc	A	43.118242	-75.213692
2m_Auto_Repair	D	43.092637	-75.224439
Ancora	B	43.098868	-75.235275
Roma_Sausage	C	43.090936	-75.193887
Casper_Chiropractic	A	43.079961	-75.275181
East_Side_Glass_&_Mirror	D	43.10233	-75.223225
McPike_Addiction_Treatment_Center	A	43.106031	-75.254894
Blue_Moon_Emporium	C	43.104262	-75.239773
Utica_Pharmacy	A	43.08777	-75.259876
Neighborhood_Family_Dentistry	A	43.076871	-75.281295
Skermonts_Auto	D	43.094186	-75.205057
Morgan_Stanley	A	43.091581	-75.280149
S_&_L_Furn_Co	C	43.097996	-75.21616
Triangle_Coffee_Shop	B	43.100407	-75.233662
Christian_Assembly_Of_Schuyler	A	43.138386	-75.194831
Upstate_wireless	C	43.103488	-75.247257
El_Canelo	B	43.086545	-75.259858
Utica_Hydra_Matic_Service	D	43.098838	-75.224804
State_Farm	C	43.11796	-75.210063
Rodriguez_Multiservice	C	43.096466	-75.241818
Sherman_Cemetery	B	43.099116	-75.130696
Southern_BBQ_Caterin_Affair	B	43.074853	-75.285501
Strategic_Financial_Services	A	43.090083	-75.283604
Fslh_St_Luke's_Home_Renal_Dialysis	A	43.096891	-75.276605
Health_Street	A	43.086639	-75.261843
Inkorporated_Tattoo_Studio	B	43.102165	-75.22549
Outta_the_Way_Cafe'	B	43.099048	-75.231471
Farmers_Insurance_Group	C	43.093711	-75.193287
New_York_Northern_Bankruptcy_Court_Alexander_Pirnie_Federal_Building	A	43.103151	-75.226127
WellNow_Urgent_Care	A	43.112891	-75.214103
La_Bella_Toni_Massage_Therapist	B	43.084237	-75.265311
Stewart's_Shops	C	43.081741	-75.205262
Farmers_Insurance_Group	C	43.081649	-75.272067
Zaro_Bosnian_Restaurant	B	43.089047	-75.222659
T_P_Brake_&_Muffler	C	43.108673	-75.249337
Hair_by_Lisa_calhoun	B	43.10266	-75.23023
Lady_J's	B	43.099411	-75.232734
ADHD_&_Autism_Psychological_Services_And_Advocacy	A	43.092108	-75.284613
JP3_Performance_Studio	B	43.101555	-75.230074
Europa_Restaurant	B	43.095367	-75.215544
The_Grand_Rehabilitation_And_Nursing_At_Utica	B	43.090256	-75.257138
Trattoria_Calabria	B	43.089637	-75.198717
SmartStyle_Family_Hair_Salons	B	43.128561	-75.227329
Coriale_Flowers	C	43.093191	-75.220394
KFC	B	43.10841	-75.21943
Faxton_St_Luke's_Healthcare_MASONIC	A	43.088045	-75.191784
Econo_Lodge	B	43.114176	-75.213955
R.E._Michel	C	43.105281	-75.220184
Minit_Car_Wash	D	43.087216	-75.254719
Fastrac	C	43.08823	-75.259405
Krispy_Krunchy_Chicken	B	43.095182	-75.242484
Clean_Car_Auto_Sales_&_Detailing	D	43.099041	-75.210754
Deerfield_Elementary_School	A	43.133274	-75.211112
Nassif_Ramzi_F	A	43.0911	-75.258081
St_George_Orthodox_Church	A	43.093829	-75.227676
Dix_Mix_Memorial_Field	B	43.083422	-75.284149
K_Music	C	43.088873	-75.222127
Spano_Brothers	E	43.093911	-75.200067
George's_Precision_Auto_Body	D	43.111932	-75.267605
Panda_House	B	43.100169	-75.234399
United_Church_Nursery_School	A	43.096684	-75.242421
Quick_Lane	C	43.137857	-75.216748
Acquaviva_Peter_M	A	43.094479	-75.286621
Lucky_Mey's_Market	C	43.088516	-75.247955
Mvcaa_Inc_Calvary_Head_Start	A	43.094871	-75.230762
Stage_Music_Piano_Svce	C	43.107735	-75.24428
Wendy's	B	43.110586	-75.218393
Pharmacy_Solutions	A	43.088702	-75.186094
Ramon's_Bakery	E	43.080415	-75.207279
US_Care_Systems	B	43.078944	-75.277405
Asim_Automotive	D	43.094899	-75.215702
Kookie's_Q_&amp_Creamery	B	43.107043	-75.222837
Utica_Combat_Athletics	A	43.099301	-75.213476
Scharf_Plumbing_&_Drain_Service	A	43.106561	-75.246849
Smoke_&amp_Vapor	C	43.12857	-75.224532
The_Pines_At_Utica_Center_For_Nursing_&_Rehabilitation	B	43.08676	-75.254792
Mercurios_Automotive_Utica	C	43.084829	-75.280646
Oneida_County_DMV_Office	A	43.104129	-75.223237
Dunkin'	B	43.090265	-75.22185
Harry's_Brake_Service_&_General_Repair	D	43.110205	-75.262786
Maugeri's_Auto_Repair	D	43.097695	-75.216854
The_Unlimited_Salon	B	43.117832	-75.209343
Parkway_Drugs_Of_Oneida_County_South	A	43.08512	-75.28235
Howe_Does_It_Automotive	D	43.109373	-75.261458
Quick_Change_Inc	D	43.093814	-75.225485
Lee_Debra_DO	A	43.09316	-75.241357
Grimaldi_Auto_Sales	C	43.093178	-75.260739
Quality_Auto_Sales	C	43.109188	-75.260736
BJ's_Optical	A	43.126634	-75.222607
Utica_Roof_Pros	D	43.123446	-75.208466
Utica_Access_Site	B	43.099619	-75.223946
Heritage_Health_Care_Center	B	43.090487	-75.256683
Myly_Nail_Salon	B	43.113306	-75.205528
All_Saints_Episcopal_Church	A	43.089295	-75.248459
Lawrence_Gilbert	A	43.091104	-75.258075
J's_Auto	D	43.108588	-75.250378
Dollar_General	C	43.11017	-75.255587
Longo's_Auto_Services	D	43.104353	-75.249171
Cafe_plus	B	43.096045	-75.21162
City_Liquors	C	43.086637	-75.257991
Fastrac	C	43.087165	-75.250342
Stang_David_PSY_D	A	43.098322	-75.238146
First_Presbyterian_Church	A	43.091377	-75.250231
Rosas_Trattoria_Italian_Deli_Bakery	E	43.077108	-75.280798
Hair_Reflections	B	43.092035	-75.206552
Broad_Street_Cash_&_Carry	C	43.100376	-75.21411
GPO_Federal_Credit_Union	C	43.101111	-75.226034
Marinuzzi_Chiropractic	A	43.126244	-75.235869
Ferris_R_&_Sons	C	43.106493	-75.216459
Eggers_Caryl_&_Corrigan	C	43.103522	-75.232052
S&E_Cabin_Log_Home_Services	E	43.110619	-75.164193
New_York_Connection	A	43.101772	-75.229797
AAA	C	43.100569	-75.237726
Larissa_Creedon_LMT_LC_Massage_Therapy	A	43.084974	-75.26541
Yummilicious_Cafe_&_Bakery	B	43.089235	-75.204572
Asbury_United_Methodist_Church	A	43.091457	-75.212223
Avico_Distributing	C	43.100289	-75.214292
Affordable_Mattress_&_Furniture	C	43.099286	-75.247113
Beit_Shalom	A	43.10273	-75.22961
Metro_by_T_Mobile_Authorized_Dealer	C	43.091348	-75.222693
Lincoln_Playground	B	43.094112	-75.252984
Wanna_Play_Cafe	B	43.115758	-75.21005
The_Pizza_Box	B	43.090141	-75.213379
Price_Chopper_New_England	C	43.086522	-75.259929
St_John's_Episcopal_Church	A	43.101025	-75.227423
D_&_D_Auto_Body	D	43.09259	-75.215708
Health_Street	A	43.095323	-75.244539
West_Schuyler_Cemetery	B	43.145725	-75.108842
MassMututal	A	43.084161	-75.265506
Roscoe_Conkling_Elementary_School	A	43.091346	-75.220919
The_Stief	B	43.104316	-75.241954
Family'grocery	C	43.096159	-75.21005
Upstate_Empire_Fitness	B	43.104591	-75.269576
Mvcaa_Inc_Ney_Ave_Head_Start	A	43.106178	-75.265099
Utica_Fire_Department_Station_6	A	43.097435	-75.233642
Raspberries_Cafe_of_Utica	B	43.077542	-75.280001
Red_Raven_Tattoo_and_Piercing	B	43.101702	-75.229779
CNY_Business_Solutions	E	43.101661	-75.239661
Arcuri's_Pizza	B	43.092078	-75.221126
Tribute_to_Heritage_Tattoo_Parlor	B	43.077157	-75.280723
City_Sweets_Bakery	E	43.10329	-75.223462
Metal_Logix	E	43.088605	-75.228343
New_York_Holistics	A	43.084254	-75.265334
Ravangard_Firooz_MD_PC	A	43.096732	-75.276128
Utica_Bowls	C	43.100576	-75.233303
Come_Into_Jamaica	B	43.093688	-75.236489
Fisher_Auto_Parts	C	43.105012	-75.215045
Ruznic_Market_&_Restaurant	B	43.094171	-75.214662
Cricket_Wireless_Authorized_Retailer	C	43.114017	-75.20704
R_S_Auto_Sales	C	43.109089	-75.248928
AT&T	C	43.112398	-75.214675
Central_New_York_Cardiology	A	43.082348	-75.267332
Loretto_Utica_Center	A	43.093165	-75.241435
Chanatry's_Supermarkets	C	43.084691	-75.282256
Roso's_Cafe	B	43.101476	-75.230601
Bernard's_Boxing_Academy	B	43.10218	-75.243285
Colette_M_Griffith_LMT	B	43.085012	-75.265399
Karen's_Groom_Room	C	43.126089	-75.236002
Dunkin'	B	43.107842	-75.219935
Budlong_Cemetery	B	43.099127	-75.130667
GameStop	C	43.128538	-75.224555
DHL	C	43.0872	-75.261434
Manny's_Cheesecake_Bakery_&_Gourmet_Coffee_Shop	E	43.086757	-75.249983
Utica_Safe_Schools_Healthy_Students_Partnership_Inc	A	43.082678	-75.263042
Mark_P_Hobaica_DPM	A	43.081332	-75.270856
Weeber_Cemetery	B	43.113871	-75.204004
Luna_Mexican_Bar_and_Grill	B	43.103837	-75.243245
Dunkin'	B	43.096161	-75.24285
Komatsu	C	43.100488	-75.153632
Puff_N_Stuff	C	43.096149	-75.241485
Metro_by_T_Mobile_Authorized_Dealer	C	43.095591	-75.24222
Genesee_Nails	B	43.100075	-75.233452
Caruso's_Pastry_Shoppe	E	43.098318	-75.217441
Castlewood_Cafe	B	43.104299	-75.27011
Rent-A-Center	C	43.091843	-75.222447
Suny_Polytechnic_Institute	A	43.138191	-75.230202
Neurodevelopmental_Health_Services	A	43.081555	-75.289524
Smokers_Choice	C	43.114225	-75.20857
Buddha_Dama_Thuka_Temple	A	43.08871	-75.248888
St_Peters_School	A	43.116679	-75.209117
Emergency_Preparedness_Solutions	B	43.115503	-75.15692
Mozdzen_Auto	C	43.095711	-75.210896
Mele_Mfg_Co	C	43.109111	-75.25483
Cliff's_Local_Market	C	43.08057	-75.206385
Move_Breathe_Live	B	43.104577	-75.269551
Masonic_Care_Community_Of_New_York	A	43.088342	-75.191147
Alison's_Jewelry_&_Repair	C	43.117975	-75.209703
Freeman_&_Foote_Jewelers	C	43.101822	-75.229995
Racha_Eric_B_DDS	A	43.086225	-75.251037
Marr_Logg_House	B	43.082541	-75.204619
Faxton_St_Luke's_Healtchcare	A	43.09675	-75.276135
OMNI_Pain_&amp_Precision_Medicine	A	43.092979	-75.249015
Munson_Williams_Proctor_Arts_Institute	C	43.097588	-75.240202
Johnni's_Automotive	D	43.096172	-75.204791
H&R_Block	A	43.113931	-75.207125
A_A_Jewelry_Buyers_&_Swap_Shp	A	43.094146	-75.228154
The_Sanctuary	B	43.102872	-75.243508
Advanced_Group	B	43.092996	-75.246911
Sherwin-Williams	C	43.088	-75.260484
Cricket_Wireless	C	43.091999	-75.222267
First_Nursery_School_Of_Utica	A	43.091393	-75.250384
Western_Union	C	43.114081	-75.208366
Ahn_Douglas	A	43.093594	-75.286034
Peacemaker_Program	A	43.102141	-75.2397
Believers_Miracle_Deliverance_Ministries	A	43.08671	-75.212823
Utica_Gastronome	C	43.09599	-75.209526
Mohawk_Valley_Psychiatric_Center	A	43.103005	-75.260126
Rpm_Automotive	D	43.089721	-75.20417
Duda_Woodworking_&_Chair_Hospital	C	43.105572	-75.241062
Peter_Spencer_Uame_Church	A	43.09642	-75.22085
Subway	B	43.110083	-75.217619
China_Wok	B	43.086455	-75.260933
Two_Brother's_Cafe_And_Pizzeria	B	43.081124	-75.21734
Smith_Market	B	43.10315	-75.222524
Poppy_Grocery_&_Restaurant_Del_I	D	43.088341	-75.234105
G_P_O_Federal_Credit_Union	C	43.101154	-75.226013
Amtrak	E	43.104185	-75.223202
Wakely's	B	43.103866	-75.243142
Joseph_Putrello_Barista_Coffee_Bar	B	43.099304	-75.236196
Butala_Atul_MD_F_A_C_P	A	43.091059	-75.258096
Johnny_Nole's_Bar_&_Grill	B	43.098337	-75.233693
Easy_Pass	C	43.092335	-75.230747
Burton_Cemetery	B	43.109032	-75.175993
Baumgarten_Paul_H_Dr_DPM	A	43.097893	-75.239277
Cotrupe_Produce_&_Sons	C	43.09111	-75.2062
Utica_City_Police_Department_Utica_New_York	A	43.103964	-75.233453
Patterson_Richard_A_DO	A	43.086664	-75.257225
Whitesboro_Frame_&_Body	D	43.096863	-75.251455
Sunoco	C	43.088458	-75.223123
Rick's_Place	B	43.09517	-75.219823
Black_Cat_Bar_&_Grill	B	43.085601	-75.279662
Utica_Acupuncture	A	43.08423	-75.265316
Liang_John_Dntst	A	43.074734	-75.284129
Antiques_And_Such	C	43.101823	-75.230776
Mohawk_Valley_Granite	C	43.094824	-75.203294
Living_Word_Fellowship_Inc	A	43.089958	-75.232095
Kajtezovic_Agency	C	43.089754	-75.212576
St_Mary_of_Mount_Carmel_Church	A	43.099839	-75.218031
Christian_Heritage_School	A	43.101606	-75.15663
Trinity_Lutheran_Church	A	43.078843	-75.278252
Mohawk_Valley_Network	A	43.089398	-75.214578
Memorial_Parkway	B	43.084881	-75.245922
American_Bh_Islamic_Center_Of_Utica_Inc	A	43.096657	-75.210636
Lejla_&Ajla_Coffee_Shop	B	43.094621	-75.228436
