occupation	latitude	longitude	zipcode
Top_Dog_Grooming	B	43.073582	-75.321534	13413

Schilling_George_J_Md_Pc	A	43.014393	-75.03744	13357

Sunoco	C	43.240521	-75.438101	13440

Wella's_Kitchen	B	43.023939	-74.984925	13350

Wadas_Eye_Group	A	43.027565	-74.97955	13350

Delta_Lake_State_Park	B	43.289278	-75.418601	13440

Herkimer_Diamond_KOA	E	43.127733	-74.975608	13350

Adirondack_Food_and_Fuel	C	43.038833	-75.086685	13340

LL_Flooring	C	43.090202	-75.316717	13413

Marcy_Correctional_Facility	A	43.162703	-75.311158	13403

Dream_City_Mattress	C	43.022895	-74.992599	13350

De_Paredes_Jaime_G_DDS	A	43.022381	-74.982215	13350

Beauty_Nails_&_Spa	B	43.084032	-75.32755	13413

Utica_Mutual_Insurance	C	43.076989	-75.304315	13413

Dunkin'	B	43.081906	-75.321971	13413

Runway_Hair_Salon	B	43.07754	-75.293514	13413

Suzuki	C	43.231241	-75.497164	13440

Cafe_Florentine	B	43.091653	-75.31543	13413

Boil_Shack	B	43.079035	-75.316624	13413

Hipstir_Cafe	B	43.09424	-75.652656	13421

Marcy_Driving_Range_&_Miniature_Golf	B	43.137643	-75.265955	13403

Fastrac	C	43.13311	-75.256333	13403

Jackson_Hewitt_Tax_Service	A	43.078518	-75.644798	13421

Now_Playing_Boutique	C	43.136067	-75.262675	13403

Stewart's_Shops	C	43.068319	-75.347543	13323

The_War_Club	B	43.248798	-75.382913	13440

Mohawk_Valley_Christian_Education_Foundation_Incorporated	B	43.060469	-75.2558	13413

Karaz_Shoes	C	43.077161	-75.296034	13413

Christopher_&_Banks	C	43.0903	-75.315394	13413

Berkshire_Bank	C	43.211085	-75.457704	13440

Nails_By_Yan	B	43.073155	-75.289886	13413

Soul_Bowl	B	43.050123	-75.378767	13323

The_Medicine_Shoppe	A	43.015214	-75.035221	13357

New_Life_Assembly_Of_God	A	43.090786	-75.628411	13421

Applebee's	B	43.022293	-74.994606	13350

Rome_Cemetery	B	43.240621	-75.470172	13440

AT&T	C	43.07907	-75.6464	13421

Tanner_Insurance_Agency_Inc	C	43.07557	-75.690893	13421

Bassin_&_Hession_Orthodontics	A	43.085357	-75.668566	13421

Victoria's_Secret	C	43.073324	-75.288588	13413

Al's_Cycle_Parts	C	43.207066	-75.449087	13440

First_Assembly_Of_God_Of_Utica_New_York	A	43.138022	-75.263903	13403

Kelley's_Lip_Smackin'_Best	C	43.016582	-75.035237	13357

Brooklyn_pickes	B	43.077417	-75.64238	13421

America's_Best_Contacts_&_Eyeglasses	A	43.093091	-75.309538	13413

Howard_Cemetery	B	43.020332	-75.080447	13340

New_Hartford_Shoes_&_Service	C	43.074239	-75.287616	13413

Visionworks	A	43.078528	-75.688982	13421

Saint_Mary's_Roman_Catholic_Church	A	43.107535	-75.285031	13417

Stewart's_Shops	C	43.03714	-75.069248	13340

Original_Herkimer_County_Cheese	C	42.998822	-75.05035	13357

Brian_Alessi_MD	A	43.245997	-75.453793	13440

Ballister's_Automotive	D	43.211278	-75.348914	13440

Gigliotti's_Utica_Driving_School	A	43.035639	-75.26685	13456

Village_Crossing_On_Green	C	43.048736	-75.37896	13323

Edward_Jones	A	43.095273	-75.653674	13421

Open_MRI_of_Mohawk_Valley	A	43.089859	-75.311962	13413

Fisher_Auto_Parts	C	43.216902	-75.4738	13440

City_of_Oneida	B	43.099923	-75.655774	13421

Jamo's_Restaurant_&_Bar	B	43.023978	-74.986292	13350

Massi_Peter_S_DDS	A	43.082402	-75.296095	13413

Harbor_Freight_Tools	C	43.078278	-75.689587	13421

7-Eleven	C	43.052912	-75.273102	13413

Northwestern_Mutual	C	43.074907	-75.289072	13413

MVHS_Adult_Day_Health_Care	B	43.098151	-75.279098	13413

Candella's_Greenhouses_&_Vegetable_Stand	C	43.137951	-75.274932	13403

ALDI	C	43.211629	-75.464555	13440

Revamp_Fitness	B	43.02608	-74.984991	13350

The_Village_Tailor_Shop	D	43.074228	-75.287627	13413

Oneida_Commons_Vendor_Mall	C	43.094634	-75.64984	13421

Nunno_Auto_Sales	C	43.133158	-75.254706	13403

Farm_House_Restaurant	B	43.015185	-75.035726	13357

Hoag_Cemetery	B	43.182781	-75.492433	13440

Olcott_Hotel	B	43.093242	-75.659181	13421

Steven_M_Williams_M_D	A	43.077597	-75.338166	13413

Mark_Lundquist_Counseling	A	43.023945	-74.975882	13350

Trio's_Pizza	B	43.108649	-75.287894	13417

First_American_Mortgage_Trust	C	43.014437	-75.038134	13357

Soul_Bowl	B	43.096087	-75.305269	13413

Custymize	C	43.040363	-75.072782	13340

Threeper_Arms_Supply	C	43.221349	-75.455342	13440

Moser_Excavating_&_Fencing	D	43.100233	-75.293547	13417

Flowers_By_Suzanne	C	43.034298	-74.960722	13350

Hannaford_Supermarkets	C	43.053892	-75.277431	13413

May_Stephen_D_Dr_Dntst	A	43.015231	-75.03639	13357

CVS	A	43.044088	-74.856366	13365

Angelichio_Anthony_V_DMD	A	43.013257	-75.039821	13357

Tc_Photography	A	43.051738	-75.187405	13340

