location_name,top_category,latitude,longitude
Gasoline Stations,Adirondack Food and Fuel,43.038833,-75.086685
Home Furnishings Stores,LL Flooring,43.090202,-75.316717
 and Similar Institutions, Historical Sites,Museums,Delta Lake State Park,43.289278,-75.418601
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Walmart Supercenter,43.078199,-75.69198
Furniture Stores,Dream City Mattress,43.022895,-74.992599
Used Merchandise Stores,Showcase Antiques,43.041314,-74.858357
Department Stores,Herkimer County Probation Department,43.028806,-74.988072
Health and Personal Care Stores,Peter's Cornucopia,43.077018,-75.295643
Other Motor Vehicle Dealers,K D K Sports,43.231261,-75.497157
Health and Personal Care Stores,The Medicine Shoppe,43.015214,-75.035221
Religious Organizations,New Life Assembly Of God,43.090786,-75.628411
Restaurants and Other Eating Places,Applebee's,43.022293,-74.994606
Other Amusement and Recreation Industries,CrossFit,43.131139,-75.249355
Florists,Clinton Florist,43.048013,-75.378332
Automotive Repair and Maintenance,Mavis Discount Tire,43.232344,-75.439028
Personal Care Services,SmartStyle Family Hair Salons,43.078045,-75.692136
Restaurants and Other Eating Places,Sorrento's Pizzeria & Restaurant,43.017314,-75.033646
Automotive Repair and Maintenance,NextGen Car Care Centers,43.079004,-75.372231
Religious Organizations,Saint Mary's Roman Catholic Church,43.107535,-75.285031
Grocery Stores,Stewart's Shops,43.03714,-75.069248
Specialty Food Stores,Original Herkimer County Cheese,42.998822,-75.05035
Other Miscellaneous Store Retailers,Rome Vapors,43.213799,-75.454782
Furniture Stores,Harden Furniture Oneida Div,43.092158,-75.659319
 and Similar Institutions, Historical Sites,Museums,Rome Access Site,43.213885,-75.459601
Automotive Repair and Maintenance,Roller's Collision,43.081643,-75.295711
Traveler Accommodation,D H Burrell Overlook Mansion,43.048817,-74.859762
Child Day Care Services,Sitrin Child Day Care Facility Inc,43.056226,-75.229408
Restaurants and Other Eating Places,Grande's Pizzeria & Restaurant,43.220365,-75.425257
Restaurants and Other Eating Places,Ice Cream Station,43.016641,-75.037881
Shoe Stores,New Hartford Shoes & Service,43.074239,-75.287616
 and Liquor Stores, Wine,Beer,Crystal Springs Beverage,43.027241,-74.914169
Restaurants and Other Eating Places,Subway,43.082361,-75.315535
Building Material and Supplies Dealers,Alexander Home Supply,43.13594,-75.278538
Grocery Stores,SavOn,43.03978,-75.622229
Personal Care Services,Beauty Nails & Spa,43.084032,-75.32755
Automobile Dealers,Crimmins Automotive Sales,43.030668,-75.062132
 and Musical Instrument Stores, Hobby,Sporting Goods,DJR Custom Electronics,43.075573,-75.690892
Other Ambulatory Health Care Services,Hearing Health USA,43.231283,-75.443323
Other Ambulatory Health Care Services,Better Hearing,43.095506,-75.651852
Religious Organizations,First Assembly Of God,43.038872,-74.857778
Other Miscellaneous Store Retailers,Olivia's Happy Tails,43.026351,-74.98714
Automotive Repair and Maintenance,Moser Excavating & Fencing,43.100233,-75.293547
Florists,Flowers By Suzanne,43.034298,-74.960722
Personal Care Services,Polish Nail Spa,43.096467,-75.303008
Personal Care Services,House Of Hair,43.082285,-75.32301
Restaurants and Other Eating Places,Salty Shamrock LLC,43.02275,-74.98247
Florists,Central Market Florist,43.232463,-75.436644
Personal Care Services,Studio,43.222073,-75.445075
Restaurants and Other Eating Places,Copperccinos Coffee House,43.212653,-75.460743
Grocery Stores,SavOn,43.078538,-75.646343
Grocery Stores,Roy Boys Farm Produce,43.106195,-75.293732
 including Warehouse Clubs and Supercenters,General Merchandise Stores,FYE,43.082134,-75.316402
Restaurants and Other Eating Places,Rail and Canal,43.199489,-75.449075
Restaurants and Other Eating Places,Little Caesars,43.090978,-75.661674
Other Personal Services,Holland Kennels,43.172994,-75.320815
Restaurants and Other Eating Places,Panera Bread,43.09594,-75.305236
Restaurants and Other Eating Places,Fortune Cookies,43.082612,-75.323552
Bakeries and Tortilla Manufacturing,Love Bites Bakery,43.054692,-75.271805
Personal Care Services,Davi Nails,43.022547,-74.99378
Traveler Accommodation,Hampton,43.091385,-75.329346
Automobile Dealers,Rome Pre Owned Auto Sales,43.21856,-75.433744
Restaurants and Other Eating Places,Canal Side Inn Restaurant,43.040428,-74.858715
Grocery Stores,Circle K,43.096716,-75.623466
Clothing Stores,Chico's,43.090112,-75.31657
Building Material and Supplies Dealers,Lowe's,43.228277,-75.488332
Personal Care Services,Hello Gorgeous hair salon,43.097164,-75.300929
Automotive Repair and Maintenance,Bladek's Body Shop,42.984902,-74.859063
Automotive Repair and Maintenance,Dick's Wheel Shop,43.020905,-74.990057
Religious Organizations,Presbyterian Homes & Services Inc,43.072256,-75.34166
Gasoline Stations,Circle K Gas,43.283076,-75.471421
Grocery Stores,Boonville Big M,43.475929,-75.319647
 and Similar Institutions, Historical Sites,Museums,Lincoln Park,43.085664,-75.657969
Shoe Stores,Shopper's Service,43.230915,-75.499161
Restaurants and Other Eating Places,McDonald's,43.225077,-75.485559
Religious Organizations,Our Lady of the Rosary Church,43.094797,-75.280405
 and Liquor Stores, Wine,Beer,Liquor Warehouse,43.229596,-75.494908
 and Liquor Stores, Wine,Beer,Bostwick's Liquor Store,43.210973,-75.458428
Rail Transportation,Amtrak,43.016598,-74.992296
Other Personal Services,Lisa's Pet Palace,43.215829,-75.459332
 and Gift Stores, Stationery,Office Supplies,Herkimer Diamond Mines,43.128809,-74.976634
Restaurants and Other Eating Places,Tokyo Restaurant,43.022955,-74.99283
Building Material and Supplies Dealers,Tractor Supply Co.,43.225301,-75.488032
Religious Organizations,Trinity Episcopal Church,43.214513,-75.459041
Health and Personal Care Stores,Walgreens,43.097787,-75.303493
Health and Personal Care Stores,Allen Matthew C OD,43.078937,-75.652742
