Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees/students	Number of students/residence	School type
F	43.085756	-75.212001	0	584	primary
F	43.0798563	-75.2220335	0	663	primary
F	43.111949	-75.1809883	0	738	primary
F	43.0745694	-75.2722162	0	470	primary
F	43.0826519	-75.265082	0	429	primary
F	43.1185825	-75.1990871	0	687	middle
F	43.1040776	-75.2520532	0	591	primary
F	43.0915376	-75.2355129	0	350	primary
F	43.1029929	-75.2623292	0	27	primary,middle,high
F	43.0913205	-75.2232481	0	578	primary
F	43.1013809	-75.2645928	0	717	middle
F	43.1237355	-75.2201027	0	567	primary
F	43.082638	-75.2170944	0	2691	high
F	43.0873973	-75.2776169	0	678	primary,middle,high
F	43.0873735	-75.2453967	0	672	primary
F	43.1016763	-75.1558424	0	73	primary,middle,high
F	43.0917288	-75.2842526	0	179	daycare,primary,middle,high,college
F	43.07673503	-75.21900726	0	76	college
F	43.07771355	-75.21829356	0	129	college
F	43.07815698	-75.21742269	0	76	college
F	43.07736275	-75.21706498	0	76	college
F	43.07637455	-75.2171524	0	129	college
F	43.0750787	-75.21695352	0	76	college
F	43.07785986	-75.21567194	0	129	college
F	43.0772836	-75.21641332	0	129	college
F	43.07793971	-75.21677912	0	129	college
F	43.07422449	-75.21738388	0	3	college
F	43.07480443	-75.21555461	0	3	college
F	43.07663177	-75.21492864	0	3	college
F	43.0826318	-75.2677459	0	129	college
F	43.13816843	-75.23309088	0	129	college
F	43.13775935	-75.22966631	0	130	college
F	43.13950717	-75.22783289	0	130	college
F	43.1393005	-75.22535692	0	130	college
F	43.14002949	-75.22310525	0	130	college
F	43.13723454	-75.22634716	0	2	college
F	43.13755146	-75.22712044	0	51	college
F	43.13624672	-75.22808343	0	130	college
F	43.13531622	-75.22751555	0	51	college
F	43.13562713	-75.22982462	0	130	college
F	43.1343399	-75.22958629	0	51	college
F	43.13460531	-75.23089373    0		130	college
F	43.13398451	-75.23244908	0	11	college
F	43.09368951	-75.27114996	0	2	college
F	43.09472664	-75.27079006	0	130	college
F	43.09502419	-75.27251768	0	51	college
F	43.09547476	-75.27301712	0	51	college
F	43.09549382	-75.27223573	0	130	college
F	43.09539112	-75.27149293	0	51	college
F	43.09518808	-75.27090818	0	130	college
F	43.09561262	-75.27056991	0	11	college
F	43.09618026	-75.27065864	0	51	college
F	43.09603601	-75.27161346	0	6	college
F	43.09596521	-75.27242299	0	130	college
F	43.09707823	-75.27207945	0	51	college
F	43.09795815	-75.27277081	0	130	college
F	43.09900759	-75.27307713	0	130	college
F	43.09992438	-75.27346145	0	130	college
F	43.10029683	-75.27212723	0	11	college
F	43.09981654	-75.27181656	0	11	college
F	43.09934906	-75.27160568	0	130	college
F	43.0991096	-75.27220607	0	51	college
F	43.09794666	-75.2714421	0	51	college
F	43.09784695	-75.27068369	0	11	college
F	43.09738042	-75.27137646	0	2	college
F	43.0989085	-75.26885857	0	2	college
F	43.09997698	-75.26874692	0	2	college
F	43.10124942	-75.26887979	0	51	college
F	43.0994641	-75.26737265	0	51	college
F	43.097372	-75.2692298	0	2	college
F	43.09754276	-75.26782905	0	2	college
F	43.09437084	-75.26969144	0	2	college
F	43.09398254	-75.27013696	0	2	college
F	43.09477533	-75.27629825	0	130	college
F	43.09484502	-75.27512624	0	2	college
F	43.10169571	-75.2300968	0	130	college
F	43.077152	-75.2808417	0	20	daycare
F	43.1009772	-75.238081	0	20	daycare
F	43.1102411	-75.1633483	0	20	daycare
F	43.0822321	-75.2684518	0	81	daycare
F	43.0850965	-75.2070221	0	12	daycare
F	43.071991	-75.2246727	0	16	daycare
F	43.075494	-75.2823366	0	10	daycare
F	43.0950624	-75.2110182	0	20	daycare
F	43.083902	-75.2571949	0	16	daycare
F	43.0913915	-75.2525549	0	30	daycare
F	43.071991	-75.2246727	0	10	daycare
F	43.0971856	-75.239854	0	50	daycare
F	43.1247565	-75.3176926	0	75	daycare
F	43.1005943	-75.2363003	0	20	daycare
F	43.0979207	-75.2204693	0	20	daycare
F	43.0666523	-75.2879342	0	25  daycare	
H	43.1029929	-75.2623292	0	202	
AA	43.0812492	-75.1903982	0	35	
AA	43.0883286	-75.1933408	0	80	
AA	43.0794623	-75.2763887	0	30	
AA	43.0911334	-75.2561854	0	50	
AA	43.0931467	-75.2436228	0	30	
AA	43.0865408	-75.2552377	0	30	
AA	43.0928117	-75.2258386	0	30	
AA	43.0560165	-75.2403293	0	25	
AA	43.0981187	-75.2800619	0	50	
AA	43.1236611	-75.2127506	0	50	
AA	43.0876376	-75.1917806	0	50	
AA	43.1066082	-75.1704806	0	25	
